target,met_target,arm,index_type,sweep_param,sweep_value,refine_k,recall_at_10,recall_at_100,p50_ms,p99_ms,qps,qps_threads,payload_compression,footprint_compression_vs_raw_fp32,loaded_bytes,index_files_bytes,chunk_cache_bytes,nominal_payload_bytes,build_seconds,n_rows,scale,mmap,n_recall_queries,latency_measured,qps_n_queries
0.9,False,ivf_pq_m128,IVF_PQ,nprobe,256,,0.60336,0.636078,19.598020997364074,28.450044846977104,56.89874587586792,8,32.0,15.421641805908292,2656007740,2088505344,0,128,8937.76660158299,10000000,10m,False,10000,True,2000
0.9,False,rabitq,IVF_RABITQ,nprobe,256,,0.77763,0.782068,405.09079100593226,613.7632894083799,2.723430237383161,8,32.0,14.099353271064485,2905097788,2337595392,0,128,5677.165956500001,10000000,10m,False,10000,True,2000
0.9,False,ivf_pq_m256,IVF_PQ,nprobe,256,,0.81941,0.842261,38.21904101641849,54.1407216724474,28.04489008382377,8,16.0,10.405043478210859,3936552508,3369050112,0,256,9520.198204042012,10000000,10m,False,10000,True,2000
0.9,True,ivf_sq8,IVF_SQ8,nprobe,32,,0.93925,0.91664,26.98447898728773,136.76571532967498,43.829790158999835,8,4.0,3.537851342820585,11577648700,11010146304,0,1024,9794.065776958014,10000000,10m,False,2000,True,2000
0.9,True,rabitq_refine_sq8_k2,IVF_RABITQ,nprobe,32,2.0,0.93285,,63.83968750014901,145.21933825028097,20.2272904385338,8,3.5555555555555554,3.1147307428166617,13150414396,12582912000,0,1152,3798.1600574999975,10000000,10m,False,2000,True,2000
0.9,True,rabitq_refine_sq8_k5,IVF_RABITQ,nprobe,256,5.0,0.98485,0.98456,352.1602079999866,767.6187732508697,2.7803842324061367,8,3.5555555555555554,3.1147307428166617,13150414396,12582912000,0,1152,3798.1600574999975,10000000,10m,False,2000,True,2000
0.9,True,rabitq_refine_sq8_k1,IVF_RABITQ,nprobe,256,1.0,0.9793,,468.8212080000085,856.5685898342776,1.9373693901040137,8,3.5555555555555554,3.1147307428166617,13150414396,12582912000,0,1152,3798.1600574999975,10000000,10m,False,2000,True,2000
0.9,True,rabitq_refine_sq8_k10,IVF_RABITQ,nprobe,256,10.0,0.98485,,562.4937085012789,828.5656717526581,1.8892691417910734,8,3.5555555555555554,3.1147307428166617,13150414396,12582912000,0,1152,3798.1600574999975,10000000,10m,False,2000,True,2000
0.9,True,ivf_flat_fp32,IVF_FLAT,nprobe,32,,0.9436,0.91741,2448.5855209932197,9727.396017085846,0.30300813825090267,8,1.0,0.9680413360252828,42312242748,41744740352,0,4096,10570.335512666003,10000000,10m,True,2000,True,2000
0.95,False,ivf_pq_m128,IVF_PQ,nprobe,256,,0.60336,0.636078,19.598020997364074,28.450044846977104,56.89874587586792,8,32.0,15.421641805908292,2656007740,2088505344,0,128,8937.76660158299,10000000,10m,False,10000,True,2000
0.95,False,rabitq,IVF_RABITQ,nprobe,256,,0.77763,0.782068,405.09079100593226,613.7632894083799,2.723430237383161,8,32.0,14.099353271064485,2905097788,2337595392,0,128,5677.165956500001,10000000,10m,False,10000,True,2000
0.95,False,ivf_pq_m256,IVF_PQ,nprobe,256,,0.81941,0.842261,38.21904101641849,54.1407216724474,28.04489008382377,8,16.0,10.405043478210859,3936552508,3369050112,0,256,9520.198204042012,10000000,10m,False,10000,True,2000
0.95,True,ivf_sq8,IVF_SQ8,nprobe,64,,0.96516,0.955046,24.596666989964433,77.3384612315567,37.87810181669196,8,4.0,3.537851342820585,11577648700,11010146304,0,1024,9794.065776958014,10000000,10m,False,10000,True,2000
0.95,True,rabitq_refine_sq8_k2,IVF_RABITQ,nprobe,64,2.0,0.96015,0.948965,93.45756249967963,185.28232399570695,12.075293084023352,8,3.5555555555555554,3.1147307428166617,13150414396,12582912000,0,1152,3798.1600574999975,10000000,10m,False,10000,True,2000
0.95,True,rabitq_refine_sq8_k5,IVF_RABITQ,nprobe,256,5.0,0.98485,0.98456,352.1602079999866,767.6187732508697,2.7803842324061367,8,3.5555555555555554,3.1147307428166617,13150414396,12582912000,0,1152,3798.1600574999975,10000000,10m,False,2000,True,2000
0.95,True,rabitq_refine_sq8_k1,IVF_RABITQ,nprobe,256,1.0,0.9793,,468.8212080000085,856.5685898342776,1.9373693901040137,8,3.5555555555555554,3.1147307428166617,13150414396,12582912000,0,1152,3798.1600574999975,10000000,10m,False,2000,True,2000
0.95,True,rabitq_refine_sq8_k10,IVF_RABITQ,nprobe,256,10.0,0.98485,,562.4937085012789,828.5656717526581,1.8892691417910734,8,3.5555555555555554,3.1147307428166617,13150414396,12582912000,0,1152,3798.1600574999975,10000000,10m,False,2000,True,2000
0.95,True,ivf_flat_fp32,IVF_FLAT,nprobe,64,,0.96974,0.956605,9160.393854501308,19890.758103751574,0.1143773733628825,8,1.0,0.9680413360252828,42312242748,41744740352,0,4096,10570.335512666003,10000000,10m,True,10000,True,2000
