scale,arm,index_type,sweep_param,sweep_value,refine_k,recall_at_10,recall_at_100,p50_ms,p99_ms,qps,qps_threads,build_seconds,ingest_seconds,nominal_payload_bytes,n_rows,n_recall_queries,r100_n_queries,recall_pass_mode,latency_measured,qps_n_queries,mmap,ingest_strategy,loaded_bytes,index_files_bytes,chunk_cache_bytes,segment_heap_bytes,payload_compression,footprint_compression_vs_raw_fp32
10m,ivf_sq8,IVF_SQ8,nprobe,16,,0.90175,0.86186,25.10125002299901,86.6649562484235,33.86313807237556,8,9794.065776958014,2160.0,1024,10000000,2000,2000.0,merged,True,2000,False,shared_collection_index_cycle,11577648700,11010146304,0,567502396,4.0,3.537851342820585
10m,ivf_sq8,IVF_SQ8,nprobe,32,,0.93925,0.91664,26.98447898728773,136.76571532967498,43.829790158999835,8,9794.065776958014,2160.0,1024,10000000,2000,2000.0,merged,True,2000,False,shared_collection_index_cycle,11577648700,11010146304,0,567502396,4.0,3.537851342820585
10m,ivf_sq8,IVF_SQ8,nprobe,64,,0.96516,0.955046,24.596666989964433,77.3384612315567,37.87810181669196,8,9794.065776958014,2160.0,1024,10000000,10000,10000.0,merged,True,2000,False,shared_collection_index_cycle,11577648700,11010146304,0,567502396,4.0,3.537851342820585
10m,ivf_sq8,IVF_SQ8,nprobe,128,,0.98017,0.975958,28.10672949999571,70.18951467995065,30.34175032224775,8,9794.065776958014,2160.0,1024,10000000,10000,10000.0,merged,True,2000,False,shared_collection_index_cycle,11577648700,11010146304,0,567502396,4.0,3.537851342820585
10m,ivf_sq8,IVF_SQ8,nprobe,256,,0.98787,0.986783,43.134021005243994,142.5330095898235,17.726968150767103,8,9794.065776958014,2160.0,1024,10000000,10000,10000.0,merged,True,2000,False,shared_collection_index_cycle,11577648700,11010146304,0,567502396,4.0,3.537851342820585
10m,ivf_sq8,IVF_SQ8,nprobe,512,,0.99166,0.991865,81.2396664841799,579.1752582302425,8.769665330926067,8,9794.065776958014,2160.0,1024,10000000,10000,10000.0,merged,True,2000,False,shared_collection_index_cycle,11577648700,11010146304,0,567502396,4.0,3.537851342820585
10m,rabitq_refine_sq8_k2,IVF_RABITQ,nprobe,32,2.0,0.93285,,63.83968750014901,145.21933825028097,20.2272904385338,8,3798.1600574999975,2160.0,1152,10000000,2000,,separate,True,2000,False,shared_collection_index_cycle,13150414396,12582912000,0,567502396,3.5555555555555554,3.1147307428166617
10m,rabitq_refine_sq8_k2,IVF_RABITQ,nprobe,64,2.0,0.96015,0.948965,93.45756249967963,185.28232399570695,12.075293084023352,8,3798.1600574999975,2160.0,1152,10000000,10000,2000.0,separate,True,2000,False,shared_collection_index_cycle,13150414396,12582912000,0,567502396,3.5555555555555554,3.1147307428166617
10m,rabitq_refine_sq8_k2,IVF_RABITQ,nprobe,128,2.0,0.97686,,179.27766650245758,364.68856766769017,6.19042293759578,8,3798.1600574999975,2160.0,1152,10000000,10000,,separate,True,2000,False,shared_collection_index_cycle,13150414396,12582912000,0,567502396,3.5555555555555554,3.1147307428166617
10m,rabitq_refine_sq8_k2,IVF_RABITQ,nprobe,256,2.0,0.98562,0.98455,312.8477290010778,476.02352374990005,3.43986747940726,8,3798.1600574999975,2160.0,1152,10000000,10000,2000.0,separate,True,2000,False,shared_collection_index_cycle,13150414396,12582912000,0,567502396,3.5555555555555554,3.1147307428166617
10m,rabitq_refine_sq8_k2,IVF_RABITQ,nprobe,512,2.0,0.9893,,,,1.7695470928851267,8,3798.1600574999975,2160.0,1152,10000000,2000,,separate,False,800,False,shared_collection_index_cycle,13150414396,12582912000,0,567502396,3.5555555555555554,3.1147307428166617
10m,rabitq_refine_sq8_k2,IVF_RABITQ,nprobe,1024,2.0,0.992,,,,0.879758230322986,8,3798.1600574999975,2160.0,1152,10000000,2000,,separate,False,800,False,shared_collection_index_cycle,13150414396,12582912000,0,567502396,3.5555555555555554,3.1147307428166617
10m,rabitq_refine_sq8_k5,IVF_RABITQ,nprobe,256,5.0,0.98485,0.98456,352.1602079999866,767.6187732508697,2.7803842324061367,8,3798.1600574999975,2160.0,1152,10000000,2000,2000.0,separate,True,2000,False,shared_collection_index_cycle,13150414396,12582912000,0,567502396,3.5555555555555554,3.1147307428166617
10m,rabitq_refine_sq8_k5,IVF_RABITQ,nprobe,512,5.0,0.98935,,,,1.3065506297959035,8,3798.1600574999975,2160.0,1152,10000000,2000,,separate,False,800,False,shared_collection_index_cycle,13150414396,12582912000,0,567502396,3.5555555555555554,3.1147307428166617
10m,rabitq_refine_sq8_k5,IVF_RABITQ,nprobe,1024,5.0,0.99205,,,,0.6408749529914728,8,3798.1600574999975,2160.0,1152,10000000,2000,,separate,False,800,False,shared_collection_index_cycle,13150414396,12582912000,0,567502396,3.5555555555555554,3.1147307428166617
10m,rabitq_refine_sq8_k1,IVF_RABITQ,nprobe,256,1.0,0.9793,,468.8212080000085,856.5685898342776,1.9373693901040137,8,3798.1600574999975,2160.0,1152,10000000,2000,,separate,True,2000,False,shared_collection_index_cycle,13150414396,12582912000,0,567502396,3.5555555555555554,3.1147307428166617
10m,rabitq_refine_sq8_k10,IVF_RABITQ,nprobe,256,10.0,0.98485,,562.4937085012789,828.5656717526581,1.8892691417910734,8,3798.1600574999975,2160.0,1152,10000000,2000,,separate,True,2000,False,shared_collection_index_cycle,13150414396,12582912000,0,567502396,3.5555555555555554,3.1147307428166617
10m,rabitq,IVF_RABITQ,nprobe,32,,0.7552,0.75134,89.55868799966993,133.40988633754023,11.866167603730897,8,5677.165956500001,2160.0,128,10000000,2000,2000.0,merged,True,2000,False,shared_collection_index_cycle,2905097788,2337595392,0,567502396,32.0,14.099353271064485
10m,rabitq,IVF_RABITQ,nprobe,64,,0.76691,0.769057,142.46377049857983,189.13802217677585,7.619796101952308,8,5677.165956500001,2160.0,128,10000000,10000,10000.0,merged,True,2000,False,shared_collection_index_cycle,2905097788,2337595392,0,567502396,32.0,14.099353271064485
10m,rabitq,IVF_RABITQ,nprobe,128,,0.77355,0.77609,249.7227289932198,343.5538541561982,4.350962888036729,8,5677.165956500001,2160.0,128,10000000,2000,2000.0,merged,True,2000,False,shared_collection_index_cycle,2905097788,2337595392,0,567502396,32.0,14.099353271064485
10m,rabitq,IVF_RABITQ,nprobe,256,,0.77763,0.782068,405.09079100593226,613.7632894083799,2.723430237383161,8,5677.165956500001,2160.0,128,10000000,10000,10000.0,merged,True,2000,False,shared_collection_index_cycle,2905097788,2337595392,0,567502396,32.0,14.099353271064485
10m,ivf_flat_fp32,IVF_FLAT,nprobe,32,,0.9436,0.91741,2448.5855209932197,9727.396017085846,0.30300813825090267,8,10570.335512666003,2160.0,4096,10000000,2000,2000.0,merged,True,2000,True,shared_collection_index_cycle,42312242748,41744740352,0,567502396,1.0,0.9680413360252828
10m,ivf_flat_fp32,IVF_FLAT,nprobe,64,,0.96974,0.956605,9160.393854501308,19890.758103751574,0.1143773733628825,8,10570.335512666003,2160.0,4096,10000000,10000,10000.0,merged,True,2000,True,shared_collection_index_cycle,42312242748,41744740352,0,567502396,1.0,0.9680413360252828
10m,ivf_pq_m256,IVF_PQ,nprobe,16,,0.779,0.78469,13.357521005673334,30.76531367609277,89.7525604901494,8,9520.198204042012,2160.0,256,10000000,2000,2000.0,merged,True,2000,False,shared_collection_index_cycle,3936552508,3369050112,0,567502396,16.0,10.405043478210859
10m,ivf_pq_m256,IVF_PQ,nprobe,32,,0.7987,0.813365,14.27037501707673,18.065692597301673,77.80208412136673,8,9520.198204042012,2160.0,256,10000000,2000,2000.0,merged,True,2000,False,shared_collection_index_cycle,3936552508,3369050112,0,567502396,16.0,10.405043478210859
10m,ivf_pq_m256,IVF_PQ,nprobe,64,,0.81132,0.83102,17.13091651618015,25.579943569900916,62.774739205594855,8,9520.198204042012,2160.0,256,10000000,10000,10000.0,merged,True,2000,False,shared_collection_index_cycle,3936552508,3369050112,0,567502396,16.0,10.405043478210859
10m,ivf_pq_m256,IVF_PQ,nprobe,128,,0.81699,0.838785,25.52072900289204,38.589047927525826,46.84654708169044,8,9520.198204042012,2160.0,256,10000000,10000,10000.0,merged,True,2000,False,shared_collection_index_cycle,3936552508,3369050112,0,567502396,16.0,10.405043478210859
10m,ivf_pq_m256,IVF_PQ,nprobe,256,,0.81941,0.842261,38.21904101641849,54.1407216724474,28.04489008382377,8,9520.198204042012,2160.0,256,10000000,10000,10000.0,merged,True,2000,False,shared_collection_index_cycle,3936552508,3369050112,0,567502396,16.0,10.405043478210859
10m,ivf_pq_m128,IVF_PQ,nprobe,16,,0.5939,0.62127,11.030666501028463,16.276105334400192,112.03609354792141,8,8937.76660158299,2160.0,128,10000000,2000,2000.0,merged,True,2000,False,shared_collection_index_cycle,2656007740,2088505344,0,567502396,32.0,15.421641805908292
10m,ivf_pq_m128,IVF_PQ,nprobe,32,,0.59895,0.63002,11.381729011191055,13.807492896739857,111.74425405464333,8,8937.76660158299,2160.0,128,10000000,2000,2000.0,merged,True,2000,False,shared_collection_index_cycle,2656007740,2088505344,0,567502396,32.0,15.421641805908292
10m,ivf_pq_m128,IVF_PQ,nprobe,64,,0.60226,0.634459,12.846125013311394,18.8229461654555,87.18153522701553,8,8937.76660158299,2160.0,128,10000000,10000,10000.0,merged,True,2000,False,shared_collection_index_cycle,2656007740,2088505344,0,567502396,32.0,15.421641805908292
10m,ivf_pq_m128,IVF_PQ,nprobe,128,,0.6031,0.635671,14.865479010040872,24.15539416746469,77.42508903872142,8,8937.76660158299,2160.0,128,10000000,10000,10000.0,merged,True,2000,False,shared_collection_index_cycle,2656007740,2088505344,0,567502396,32.0,15.421641805908292
10m,ivf_pq_m128,IVF_PQ,nprobe,256,,0.60336,0.636078,19.598020997364074,28.450044846977104,56.89874587586792,8,8937.76660158299,2160.0,128,10000000,10000,10000.0,merged,True,2000,False,shared_collection_index_cycle,2656007740,2088505344,0,567502396,32.0,15.421641805908292
