scale,arm,index_type,sweep_param,sweep_value,refine_k,recall_at_10,recall_at_100,p50_ms,p99_ms,qps,qps_threads,build_seconds,ingest_seconds,nominal_payload_bytes,n_rows,loaded_bytes,index_files_bytes,chunk_cache_bytes,segment_heap_bytes,payload_compression,footprint_compression_vs_flat
1m,flat_fp32,FLAT,none,0,,1.0,0.999994,56.129228505596984,76.14614058227738,27.82846671806474,8,3.6412725419941125,171.2333585830056,4096,1000000,4152750242,0,4096000000,56750242,1.0,1.0
1m,hnsw_fp32,HNSW,ef,16,,0.96864,,11.768978998588864,49.655329164670405,207.38761162700104,8,212.8375885830028,184.02641616700566,4096,1000000,4303716508,4246966272,0,56750236,1.0,0.9649218842088285
1m,hnsw_fp32,HNSW,ef,32,,0.98916,,4.997500007448252,14.066849752125549,244.80689226862432,8,212.8375885830028,184.02641616700566,4096,1000000,4303716508,4246966272,0,56750236,1.0,0.9649218842088285
1m,hnsw_fp32,HNSW,ef,64,,0.99629,,15.027687499241438,267.4122437513141,104.7886612746061,8,212.8375885830028,184.02641616700566,4096,1000000,4303716508,4246966272,0,56750236,1.0,0.9649218842088285
1m,hnsw_fp32,HNSW,ef,128,,0.99864,0.997163,13.00020850612782,23.12067558974376,132.90607832046953,8,212.8375885830028,184.02641616700566,4096,1000000,4303716508,4246966272,0,56750236,1.0,0.9649218842088285
1m,hnsw_fp32,HNSW,ef,256,,0.99905,0.997715,18.59154150588438,132.24598893270004,124.3226378206074,8,212.8375885830028,184.02641616700566,4096,1000000,4303716508,4246966272,0,56750236,1.0,0.9649218842088285
1m,hnsw_fp32,HNSW,ef,512,,0.9994,0.998642,5.928750004386529,10.691567402827783,266.222335660666,8,212.8375885830028,184.02641616700566,4096,1000000,4303716508,4246966272,0,56750236,1.0,0.9649218842088285
1m,ivf_flat_fp32,IVF_FLAT,nprobe,1,,0.54635,0.436792,11.005708496668376,78.16116959642386,310.7003813009016,8,188.14224020800611,179.4789710000041,4096,1000000,4260020394,4203270144,0,56750250,1.0,0.9748193336935467
1m,ivf_flat_fp32,IVF_FLAT,nprobe,2,,0.69001,0.593677,6.899958505528048,49.068190751859156,277.45275343750563,8,188.14224020800611,179.4789710000041,4096,1000000,4260020394,4203270144,0,56750250,1.0,0.9748193336935467
1m,ivf_flat_fp32,IVF_FLAT,nprobe,4,,0.80659,0.732644,5.848854496434797,13.824672826012822,395.3423531342704,8,188.14224020800611,179.4789710000041,4096,1000000,4260020394,4203270144,0,56750250,1.0,0.9748193336935467
