scale,arm,transform,dim,quantizer,index_type,sweep_param,sweep_value,refine_k,recall_at_10,recall_at_100,p50_ms,p99_ms,qps,qps_threads,build_seconds,ingest_seconds,compaction_seconds,nominal_payload_bytes,n_rows,n_recall_queries,r100_n_queries,recall_pass_mode,latency_measured,qps_n_queries,mmap,ingest_strategy,loaded_bytes,index_files_bytes,chunk_cache_bytes,segment_heap_bytes,payload_compression_vs_1024_fp32,footprint_compression_vs_raw_1024,dim_compression
10m,pca_uc_512_sq8,pca_uc,512,sq8,IVF_SQ8,nprobe,16,,0.87372,0.848444,5.083146003016736,15.383014493636434,309.04389333034777,8,2542.5732525420026,1323.0361587499938,105.66743016242981,512,10000000,10000,10000,merged,True,2000,False,fresh_collection_compacted_once,5947207022,5379706880,0,567500142,8.0,6.887266551925994,2.0
10m,pca_uc_512_sq8,pca_uc,512,sq8,IVF_SQ8,nprobe,32,,0.91162,0.90172,4.987083000742132,8.702895415844967,352.57643871659144,8,2542.5732525420026,1323.0361587499938,105.66743016242981,512,10000000,10000,10000,merged,True,2000,False,fresh_collection_compacted_once,5947207022,5379706880,0,567500142,8.0,6.887266551925994,2.0
10m,pca_uc_512_sq8,pca_uc,512,sq8,IVF_SQ8,nprobe,64,,0.93741,0.935328,6.437271000322653,7.992728844910744,253.36897733007467,8,2542.5732525420026,1323.0361587499938,105.66743016242981,512,10000000,10000,10000,merged,True,2000,False,fresh_collection_compacted_once,5947207022,5379706880,0,567500142,8.0,6.887266551925994,2.0
10m,pca_uc_512_sq8,pca_uc,512,sq8,IVF_SQ8,nprobe,128,,0.95187,0.95405,8.956646001024637,12.452624576981178,154.6623666404498,8,2542.5732525420026,1323.0361587499938,105.66743016242981,512,10000000,10000,10000,merged,True,2000,False,fresh_collection_compacted_once,5947207022,5379706880,0,567500142,8.0,6.887266551925994,2.0
10m,pca_uc_512_sq8,pca_uc,512,sq8,IVF_SQ8,nprobe,256,,0.95945,0.963631,14.918603497790173,22.266844003170238,88.09480266265935,8,2542.5732525420026,1323.0361587499938,105.66743016242981,512,10000000,10000,10000,merged,True,2000,False,fresh_collection_compacted_once,5947207022,5379706880,0,567500142,8.0,6.887266551925994,2.0
10m,pca_uc_512_sq8,pca_uc,512,sq8,IVF_SQ8,nprobe,512,,0.96303,0.9681,25.55912549723871,42.668721660520475,44.174541025226006,8,2542.5732525420026,1323.0361587499938,105.66743016242981,512,10000000,10000,10000,merged,True,2000,False,fresh_collection_compacted_once,5947207022,5379706880,0,567500142,8.0,6.887266551925994,2.0
10m,pca_uc_384_sq8,pca_uc,384,sq8,IVF_SQ8,nprobe,16,,0.8378,0.825165,3.985812494647689,8.971833753166718,618.2043007446587,8,2044.561697540994,1246.594227124995,89.51713395118713,384,10000000,10000,10000,merged,True,2000,False,fresh_collection_compacted_once,4590816900,4023316480,0,567500420,10.666666666666666,8.922159365580448,2.6666666666666665
10m,pca_uc_384_sq8,pca_uc,384,sq8,IVF_SQ8,nprobe,32,,0.87244,0.87022,3.936875000363216,5.460471250262344,530.3457074426038,8,2044.561697540994,1246.594227124995,89.51713395118713,384,10000000,10000,10000,merged,True,2000,False,fresh_collection_compacted_once,4590816900,4023316480,0,567500420,10.666666666666666,8.922159365580448,2.6666666666666665
10m,pca_uc_384_sq8,pca_uc,384,sq8,IVF_SQ8,nprobe,64,,0.8937,0.89802,4.855521001445595,6.433168343210127,364.7188685355008,8,2044.561697540994,1246.594227124995,89.51713395118713,384,10000000,10000,10000,merged,True,2000,False,fresh_collection_compacted_once,4590816900,4023316480,0,567500420,10.666666666666666,8.922159365580448,2.6666666666666665
10m,pca_uc_384_sq8,pca_uc,384,sq8,IVF_SQ8,nprobe,128,,0.90629,0.913175,6.8170835002092645,8.376546018116642,225.3331878619725,8,2044.561697540994,1246.594227124995,89.51713395118713,384,10000000,10000,10000,merged,True,2000,False,fresh_collection_compacted_once,4590816900,4023316480,0,567500420,10.666666666666666,8.922159365580448,2.6666666666666665
10m,pca_uc_384_sq8,pca_uc,384,sq8,IVF_SQ8,nprobe,256,,0.91249,0.920772,10.63550049730111,14.702503673033785,126.03860239418213,8,2044.561697540994,1246.594227124995,89.51713395118713,384,10000000,10000,10000,merged,True,2000,False,fresh_collection_compacted_once,4590816900,4023316480,0,567500420,10.666666666666666,8.922159365580448,2.6666666666666665
10m,pca_uc_384_sq8,pca_uc,384,sq8,IVF_SQ8,nprobe,512,,0.91524,0.924556,18.78464599576546,22.512818657560274,65.94556627993904,8,2044.561697540994,1246.594227124995,89.51713395118713,384,10000000,10000,10000,merged,True,2000,False,fresh_collection_compacted_once,4590816900,4023316480,0,567500420,10.666666666666666,8.922159365580448,2.6666666666666665
10m,mrl_512_sq8,mrl,512,sq8,IVF_SQ8,nprobe,16,,0.70319,0.678892,5.359312999644317,18.659437405876815,389.31454844803045,8,3590.068144457997,1373.4272469169955,136.2525918483734,512,10000000,10000,10000,merged,True,2000,False,fresh_collection_compacted_once,5947202922,5379702784,0,567500138,8.0,6.887271300005593,2.0
10m,mrl_512_sq8,mrl,512,sq8,IVF_SQ8,nprobe,32,,0.72551,0.704172,5.090499995276332,6.838124416390201,298.7777952751419,8,3590.068144457997,1373.4272469169955,136.2525918483734,512,10000000,10000,10000,merged,True,2000,False,fresh_collection_compacted_once,5947202922,5379702784,0,567500138,8.0,6.887271300005593,2.0
10m,mrl_512_sq8,mrl,512,sq8,IVF_SQ8,nprobe,64,,0.7396,0.720147,6.689916495815851,9.137575079221277,252.73407858909584,8,3590.068144457997,1373.4272469169955,136.2525918483734,512,10000000,10000,10000,merged,True,2000,False,fresh_collection_compacted_once,5947202922,5379702784,0,567500138,8.0,6.887271300005593,2.0
10m,mrl_512_sq8,mrl,512,sq8,IVF_SQ8,nprobe,128,,0.74719,0.729391,9.110604005400091,12.183171908836808,147.95871806994577,8,3590.068144457997,1373.4272469169955,136.2525918483734,512,10000000,10000,10000,merged,True,2000,False,fresh_collection_compacted_once,5947202922,5379702784,0,567500138,8.0,6.887271300005593,2.0
10m,mrl_512_sq8,mrl,512,sq8,IVF_SQ8,nprobe,256,,0.7518,0.734311,15.869187503994908,28.981105414131886,63.65440622464871,8,3590.068144457997,1373.4272469169955,136.2525918483734,512,10000000,10000,10000,merged,True,2000,False,fresh_collection_compacted_once,5947202922,5379702784,0,567500138,8.0,6.887271300005593,2.0
10m,mrl_512_sq8,mrl,512,sq8,IVF_SQ8,nprobe,512,,0.75386,0.736793,26.946646001306362,184.19399490914645,41.61073288323092,8,3590.068144457997,1373.4272469169955,136.2525918483734,512,10000000,10000,10000,merged,True,2000,False,fresh_collection_compacted_once,5947202922,5379702784,0,567500138,8.0,6.887271300005593,2.0
