scale,arm,transform,dim,quantizer,index_type,sweep_param,sweep_value,refine_k,recall_at_10,recall_at_100,p50_ms,p99_ms,qps,qps_threads,build_seconds,ingest_seconds,nominal_payload_bytes,n_rows,n_recall_queries,loaded_bytes,index_files_bytes,chunk_cache_bytes,segment_heap_bytes,payload_compression_vs_1024_fp32,footprint_compression_vs_flat_1024,footprint_compression_vs_raw_1024,dim_compression
1m,mrl_1024_sq8,mrl,1024,sq8,IVF_SQ8,nprobe,1,,0.5506,0.441168,7.253166986629367,20.093626312154797,312.60178890684557,8,175.3454421669885,181.99128258400015,1024,1000000,10000,1178243236,1121492992,0,56750244,4.0,3.5245271223436925,3.476361989486524,1.0
1m,mrl_1024_sq8,mrl,1024,sq8,IVF_SQ8,nprobe,2,,0.6924,0.598146,7.214749988634139,23.652331676275914,283.11202777957135,8,175.3454421669885,181.99128258400015,1024,1000000,10000,1178243236,1121492992,0,56750244,4.0,3.5245271223436925,3.476361989486524,1.0
1m,mrl_1024_sq8,mrl,1024,sq8,IVF_SQ8,nprobe,4,,0.80827,0.735736,6.459354510297999,14.224168234213712,329.8698306843113,8,175.3454421669885,181.99128258400015,1024,1000000,10000,1178243236,1121492992,0,56750244,4.0,3.5245271223436925,3.476361989486524,1.0
1m,mrl_1024_sq8,mrl,1024,sq8,IVF_SQ8,nprobe,8,,0.88955,0.840399,7.502770487917587,16.580874478677277,284.27789214773753,8,175.3454421669885,181.99128258400015,1024,1000000,10000,1178243236,1121492992,0,56750244,4.0,3.5245271223436925,3.476361989486524,1.0
1m,mrl_1024_sq8,mrl,1024,sq8,IVF_SQ8,nprobe,16,,0.93181,0.901472,8.240375507739373,18.70773044211091,237.47747155135963,8,175.3454421669885,181.99128258400015,1024,1000000,10000,1178243236,1121492992,0,56750244,4.0,3.5245271223436925,3.476361989486524,1.0
1m,mrl_1024_sq8,mrl,1024,sq8,IVF_SQ8,nprobe,32,,0.96276,0.948464,11.150541497045197,21.32633873377926,183.90142341222415,8,175.3454421669885,181.99128258400015,1024,1000000,10000,1178243236,1121492992,0,56750244,4.0,3.5245271223436925,3.476361989486524,1.0
1m,mrl_1024_sq8,mrl,1024,sq8,IVF_SQ8,nprobe,64,,0.98011,0.972519,14.269958002842031,33.21036039269529,123.89410316980504,8,175.3454421669885,181.99128258400015,1024,1000000,10000,1178243236,1121492992,0,56750244,4.0,3.5245271223436925,3.476361989486524,1.0
1m,mrl_1024_sq8,mrl,1024,sq8,IVF_SQ8,nprobe,128,,0.98597,0.983632,20.755374993314035,39.61151292780412,73.77120887877604,8,175.3454421669885,181.99128258400015,1024,1000000,10000,1178243236,1121492992,0,56750244,4.0,3.5245271223436925,3.476361989486524,1.0
1m,mrl_1024_sq8,mrl,1024,sq8,IVF_SQ8,nprobe,256,,0.99105,0.987369,16.064583483967,27.778826573630788,61.355516849958484,8,175.3454421669885,181.99128258400015,1024,1000000,10000,1178243236,1121492992,0,56750244,4.0,3.5245271223436925,3.476361989486524,1.0
1m,mrl_1024_sq8,mrl,1024,sq8,IVF_SQ8,nprobe,512,,0.99139,0.992037,34.83560399035923,59.40539232280571,56.76297948522605,8,175.3454421669885,181.99128258400015,1024,1000000,10000,1178243236,1121492992,0,56750244,4.0,3.5245271223436925,3.476361989486524,1.0
1m,mrl_512_sq8,mrl,512,sq8,IVF_SQ8,nprobe,1,,0.42675,0.349599,4.399854005896486,11.029641484783491,651.292606189527,8,189.23260562500218,162.09690041700378,512,1000000,10000,615342026,558592000,0,56750026,8.0,6.748686204637679,6.656460678666534,2.0
1m,mrl_512_sq8,mrl,512,sq8,IVF_SQ8,nprobe,2,,0.52287,0.471954,4.558416505460627,8.272445830807525,545.2129975126811,8,189.23260562500218,162.09690041700378,512,1000000,10000,615342026,558592000,0,56750026,8.0,6.748686204637679,6.656460678666534,2.0
1m,mrl_512_sq8,mrl,512,sq8,IVF_SQ8,nprobe,4,,0.59121,0.564928,4.418958516907878,9.066221655521073,596.3816704039206,8,189.23260562500218,162.09690041700378,512,1000000,10000,615342026,558592000,0,56750026,8.0,6.748686204637679,6.656460678666534,2.0
1m,mrl_512_sq8,mrl,512,sq8,IVF_SQ8,nprobe,8,,0.63624,0.628055,4.995499999495223,17.82051273970864,443.9109908853232,8,189.23260562500218,162.09690041700378,512,1000000,10000,615342026,558592000,0,56750026,8.0,6.748686204637679,6.656460678666534,2.0
1m,mrl_512_sq8,mrl,512,sq8,IVF_SQ8,nprobe,16,,0.6652,0.667916,5.0476454925956205,11.026782822445966,505.14792040311573,8,189.23260562500218,162.09690041700378,512,1000000,10000,615342026,558592000,0,56750026,8.0,6.748686204637679,6.656460678666534,2.0
1m,mrl_512_sq8,mrl,512,sq8,IVF_SQ8,nprobe,32,,0.68176,0.691348,5.545832987991162,11.132973498024512,393.72302802550803,8,189.23260562500218,162.09690041700378,512,1000000,10000,615342026,558592000,0,56750026,8.0,6.748686204637679,6.656460678666534,2.0
1m,mrl_512_sq8,mrl,512,sq8,IVF_SQ8,nprobe,64,,0.69178,0.704216,7.280083489604294,12.733940066536881,296.8151970220392,8,189.23260562500218,162.09690041700378,512,1000000,10000,615342026,558592000,0,56750026,8.0,6.748686204637679,6.656460678666534,2.0
1m,mrl_512_sq8,mrl,512,sq8,IVF_SQ8,nprobe,128,,0.6968,0.710947,9.925020509399474,21.668543092673644,210.51869740600435,8,189.23260562500218,162.09690041700378,512,1000000,10000,615342026,558592000,0,56750026,8.0,6.748686204637679,6.656460678666534,2.0
1m,mrl_512_sq8,mrl,512,sq8,IVF_SQ8,nprobe,256,,0.69782,0.71271,13.64008299424313,22.920235421333924,146.1214401579632,8,189.23260562500218,162.09690041700378,512,1000000,10000,615342026,558592000,0,56750026,8.0,6.748686204637679,6.656460678666534,2.0
1m,mrl_512_sq8,mrl,512,sq8,IVF_SQ8,nprobe,512,,0.69951,0.714823,19.518708504620008,31.253663245588502,111.31282695970802,8,189.23260562500218,162.09690041700378,512,1000000,10000,615342026,558592000,0,56750026,8.0,6.748686204637679,6.656460678666534,2.0
1m,mrl_256_sq8,mrl,256,sq8,IVF_SQ8,nprobe,1,,0.28353,0.242257,3.261646008468233,8.214204393443646,1247.4081198161448,8,368.06012379200547,128.54076600002008,256,1000000,10000,333586344,276836352,0,56749992,16.0,12.448801687157793,12.278680088894767,4.0
1m,mrl_256_sq8,mrl,256,sq8,IVF_SQ8,nprobe,2,,0.35304,0.329375,3.269542008638382,6.959390723204704,1092.7665703556704,8,368.06012379200547,128.54076600002008,256,1000000,10000,333586344,276836352,0,56749992,16.0,12.448801687157793,12.278680088894767,4.0
1m,mrl_256_sq8,mrl,256,sq8,IVF_SQ8,nprobe,4,,0.40407,0.398681,3.4076874871971086,10.191505085676907,1268.5526152954278,8,368.06012379200547,128.54076600002008,256,1000000,10000,333586344,276836352,0,56749992,16.0,12.448801687157793,12.278680088894767,4.0
1m,mrl_256_sq8,mrl,256,sq8,IVF_SQ8,nprobe,8,,0.44375,0.448456,3.16483348433394,5.731412504101168,1296.7470562444241,8,368.06012379200547,128.54076600002008,256,1000000,10000,333586344,276836352,0,56749992,16.0,12.448801687157793,12.278680088894767,4.0
1m,mrl_256_sq8,mrl,256,sq8,IVF_SQ8,nprobe,16,,0.47261,0.483045,3.3908954937942326,6.3691424886928845,1091.5635827051908,8,368.06012379200547,128.54076600002008,256,1000000,10000,333586344,276836352,0,56749992,16.0,12.448801687157793,12.278680088894767,4.0
1m,mrl_256_sq8,mrl,256,sq8,IVF_SQ8,nprobe,32,,0.49245,0.505841,3.779791499255225,6.023357329249845,1129.847859608435,8,368.06012379200547,128.54076600002008,256,1000000,10000,333586344,276836352,0,56749992,16.0,12.448801687157793,12.278680088894767,4.0
1m,mrl_256_sq8,mrl,256,sq8,IVF_SQ8,nprobe,64,,0.50505,0.520553,4.8652914992999285,12.698656764114261,786.2454096013103,8,368.06012379200547,128.54076600002008,256,1000000,10000,333586344,276836352,0,56749992,16.0,12.448801687157793,12.278680088894767,4.0
1m,mrl_256_sq8,mrl,256,sq8,IVF_SQ8,nprobe,128,,0.51174,0.528973,2.6160620036534965,4.208418504567815,929.5470353625776,8,368.06012379200547,128.54076600002008,256,1000000,10000,333586344,276836352,0,56749992,16.0,12.448801687157793,12.278680088894767,4.0
1m,mrl_256_sq8,mrl,256,sq8,IVF_SQ8,nprobe,256,,0.51509,0.533837,3.539562996593304,5.131833348132204,644.4622392229176,8,368.06012379200547,128.54076600002008,256,1000000,10000,333586344,276836352,0,56749992,16.0,12.448801687157793,12.278680088894767,4.0
1m,mrl_256_sq8,mrl,256,sq8,IVF_SQ8,nprobe,512,,0.51703,0.535943,6.502500007627532,14.438373734883498,359.5446501390809,8,368.06012379200547,128.54076600002008,256,1000000,10000,333586344,276836352,0,56749992,16.0,12.448801687157793,12.278680088894767,4.0
1m,mrl_128_sq8,mrl,128,sq8,IVF_SQ8,nprobe,1,,0.19833,0.19019,2.8149169957032427,8.108253334066827,1367.953149655897,8,301.3001171660144,131.51609658400412,128,1000000,10000,202493852,145743872,0,56749980,32.0,20.5080312364249,20.22777461905362,8.0
1m,mrl_128_sq8,mrl,128,sq8,IVF_SQ8,nprobe,2,,0.23746,0.243783,2.5206249847542495,5.794491011474746,1465.2638145806852,8,301.3001171660144,131.51609658400412,128,1000000,10000,202493852,145743872,0,56749980,32.0,20.5080312364249,20.22777461905362,8.0
1m,mrl_128_sq8,mrl,128,sq8,IVF_SQ8,nprobe,4,,0.26672,0.282449,2.7057499974034727,5.868168426677584,1297.318790722571,8,301.3001171660144,131.51609658400412,128,1000000,10000,202493852,145743872,0,56749980,32.0,20.5080312364249,20.22777461905362,8.0
1m,mrl_128_sq8,mrl,128,sq8,IVF_SQ8,nprobe,8,,0.28869,0.307658,2.8837290010415018,6.308930000814138,1436.5027625574494,8,301.3001171660144,131.51609658400412,128,1000000,10000,202493852,145743872,0,56749980,32.0,20.5080312364249,20.22777461905362,8.0
1m,mrl_128_sq8,mrl,128,sq8,IVF_SQ8,nprobe,16,,0.30488,0.324118,3.231499984394759,8.064554836601019,1112.2171492712075,8,301.3001171660144,131.51609658400412,128,1000000,10000,202493852,145743872,0,56749980,32.0,20.5080312364249,20.22777461905362,8.0
1m,mrl_128_sq8,mrl,128,sq8,IVF_SQ8,nprobe,32,,0.31546,0.335656,2.9143540014047176,4.896394489915109,1222.4141242643402,8,301.3001171660144,131.51609658400412,128,1000000,10000,202493852,145743872,0,56749980,32.0,20.5080312364249,20.22777461905362,8.0
1m,mrl_128_sq8,mrl,128,sq8,IVF_SQ8,nprobe,64,,0.32277,0.342776,2.9474375041900203,5.902138521487356,1217.1473853628584,8,301.3001171660144,131.51609658400412,128,1000000,10000,202493852,145743872,0,56749980,32.0,20.5080312364249,20.22777461905362,8.0
1m,mrl_128_sq8,mrl,128,sq8,IVF_SQ8,nprobe,128,,0.32737,0.347262,3.8115205097710714,7.717988927324752,902.2742610905818,8,301.3001171660144,131.51609658400412,128,1000000,10000,202493852,145743872,0,56749980,32.0,20.5080312364249,20.22777461905362,8.0
1m,mrl_128_sq8,mrl,128,sq8,IVF_SQ8,nprobe,256,,0.32984,0.349815,5.105937510961667,11.576852279540615,663.6497701154073,8,301.3001171660144,131.51609658400412,128,1000000,10000,202493852,145743872,0,56749980,32.0,20.5080312364249,20.22777461905362,8.0
