scale,transform,dim,recall_at_10,recall_at_100,n_queries,device,seconds
1m,mrl,1024,1.0,1.0,10000,mps,27.952687978744507
1m,pca_uc,1024,0.99997,0.99999,10000,mps,29.962888956069946
1m,mrl,896,0.87143,0.884684,10000,mps,27.43775200843811
1m,mrl,768,0.81816,0.831765,10000,mps,25.384424924850464
1m,mrl,640,0.76223,0.777129,10000,mps,23.225012063980103
1m,mrl,512,0.70035,0.715997,10000,mps,24.2430682182312
1m,mrl,448,0.66279,0.678818,10000,mps,21.97506308555603
1m,mrl,384,0.62414,0.640598,10000,mps,22.965423107147217
1m,mrl,320,0.57487,0.593736,10000,mps,27.459874868392944
1m,mrl,256,0.51881,0.53829,10000,mps,27.509762048721313
1m,mrl,128,0.33228,0.352572,10000,mps,21.837362051010132
1m,pca,896,0.83124,0.835265,10000,mps,28.670554876327515
1m,pca,768,0.83079,0.835033,10000,mps,29.18305015563965
1m,pca,640,0.82993,0.834394,10000,mps,25.24900794029236
1m,pca,512,0.8271,0.832363,10000,mps,23.2635657787323
1m,pca,448,0.82383,0.829648,10000,mps,25.99144697189331
1m,pca,384,0.81349,0.821797,10000,mps,21.955543041229248
1m,pca,320,0.78756,0.802991,10000,mps,23.34103012084961
1m,pca,256,0.74336,0.767733,10000,mps,21.923580169677734
1m,pca,128,0.55001,0.610444,10000,mps,23.132604837417603
1m,pca_uc,896,0.99558,0.996619,10000,mps,30.34465003013611
1m,pca_uc,768,0.99087,0.993206,10000,mps,25.773775815963745
1m,pca_uc,640,0.98261,0.987264,10000,mps,26.291460752487183
1m,pca_uc,512,0.96374,0.973536,10000,mps,22.46539878845215
1m,pca_uc,448,0.94432,0.958497,10000,mps,23.137816190719604
1m,pca_uc,384,0.91097,0.931278,10000,mps,22.41758894920349
1m,pca_uc,320,0.8596,0.887567,10000,mps,28.428382873535156
1m,pca_uc,256,0.78924,0.826536,10000,mps,27.068660974502563
1m,pca_uc,128,0.55354,0.618507,10000,mps,24.40248203277588
