pair,first,second,recall_first,recall_second,recall_gap,matched,diff,face_lo,face_hi,adj_lo,adj_hi,primary,metric
A,pca_uc_512_sq8_np512,refine_np64,0.9642222222222223,0.9673333333333333,0.003111,True,-0.008889,-0.035556,0.017778,-0.044444,0.024444,True,judge
B,pca_uc_512_sq8_np512,sq8_np64,0.9642222222222223,0.9691111111111111,0.004889,True,0.006667,-0.017778,0.031111,-0.024444,0.04,False,judge
C,pca_uc_384_sq8_np512,sq8_np16,0.9231111111111113,0.9184444444444445,0.004667,True,0.013333,-0.015556,0.042222,-0.024444,0.051111,False,judge
D,mrl_512_sq8_np512,sq8_np4,0.7575555555555556,0.8006666666666669,0.043111,False,0.033333,-0.002222,0.068889,-0.013333,0.08,False,judge
E,pq_np256,sq8_np8,0.8171111111111112,0.8660000000000001,0.048889,False,0.013333,-0.02,0.046667,-0.028889,0.055556,False,judge
F,mrl_512_sq8_np512,rabitq_np256,0.7575555555555556,0.7811111111111112,0.023556,True,-0.008889,-0.037778,0.02,-0.046667,0.028889,False,judge
A,pca_uc_512_sq8_np512,refine_np64,0.9642222222222223,0.9673333333333333,0.003111,True,0.006667,-0.006667,0.02,-0.008889,0.024444,True,answer_presence_at_10
B,pca_uc_512_sq8_np512,sq8_np64,0.9642222222222223,0.9691111111111111,0.004889,True,0.006667,-0.006667,0.02,-0.011111,0.024444,False,answer_presence_at_10
C,pca_uc_384_sq8_np512,sq8_np16,0.9231111111111113,0.9184444444444445,0.004667,True,0.011111,-0.011111,0.033333,-0.017778,0.04,False,answer_presence_at_10
D,mrl_512_sq8_np512,sq8_np4,0.7575555555555556,0.8006666666666669,0.043111,False,0.051111,0.015556,0.086667,0.006667,0.097778,False,answer_presence_at_10
E,pq_np256,sq8_np8,0.8171111111111112,0.8660000000000001,0.048889,False,0.017778,-0.011111,0.046667,-0.02,0.055556,False,answer_presence_at_10
F,mrl_512_sq8_np512,rabitq_np256,0.7575555555555556,0.7811111111111112,0.023556,True,-0.002222,-0.031111,0.026667,-0.042222,0.037778,False,answer_presence_at_10
A,pca_uc_512_sq8_np512,refine_np64,0.9642222222222223,0.9673333333333333,0.003111,True,-0.011111,-0.033333,0.011111,-0.04,0.017778,True,em
B,pca_uc_512_sq8_np512,sq8_np64,0.9642222222222223,0.9691111111111111,0.004889,True,0.004444,-0.013333,0.024444,-0.02,0.028889,False,em
C,pca_uc_384_sq8_np512,sq8_np16,0.9231111111111113,0.9184444444444445,0.004667,True,0.004444,-0.022222,0.031111,-0.031111,0.04,False,em
D,mrl_512_sq8_np512,sq8_np4,0.7575555555555556,0.8006666666666669,0.043111,False,0.013333,-0.017778,0.044444,-0.026667,0.053333,False,em
E,pq_np256,sq8_np8,0.8171111111111112,0.8660000000000001,0.048889,False,0.02,-0.006667,0.046667,-0.015556,0.055556,False,em
F,mrl_512_sq8_np512,rabitq_np256,0.7575555555555556,0.7811111111111112,0.023556,True,-0.024444,-0.051111,0.002222,-0.06,0.008889,False,em
A,pca_uc_512_sq8_np512,refine_np64,0.9642222222222223,0.9673333333333333,0.003111,True,-0.009256,-0.031652,0.012493,-0.038126,0.019905,True,f1
B,pca_uc_512_sq8_np512,sq8_np64,0.9642222222222223,0.9691111111111111,0.004889,True,0.013296,-0.004954,0.031873,-0.011274,0.038384,False,f1
C,pca_uc_384_sq8_np512,sq8_np16,0.9231111111111113,0.9184444444444445,0.004667,True,0.005291,-0.020116,0.031451,-0.027302,0.039545,False,f1
D,mrl_512_sq8_np512,sq8_np4,0.7575555555555556,0.8006666666666669,0.043111,False,0.023041,-0.006593,0.052861,-0.015361,0.062429,False,f1
E,pq_np256,sq8_np8,0.8171111111111112,0.8660000000000001,0.048889,False,0.022028,-0.004613,0.048488,-0.012729,0.05631,False,f1
F,mrl_512_sq8_np512,rabitq_np256,0.7575555555555556,0.7811111111111112,0.023556,True,-0.018452,-0.04377,0.00645,-0.051197,0.01352,False,f1
