upper,lower,d_recall,d_quality,slope,slope_ci_lo,slope_ci_hi,metric
sq8_np512,sq8_np64,0.022889,0.017778,0.776699,-0.102041,1.752577,judge
sq8_np64,refine_np64,0.001778,-0.015556,-8.75,-70.0,60.0,judge
refine_np64,pca_uc_512_sq8_np512,0.003111,0.008889,2.857143,-30.0,30.0,judge
pca_uc_512_sq8_np512,pca_uc_384_sq8_np512,0.041111,0.002222,0.054054,-0.564998,0.682959,judge
pca_uc_384_sq8_np512,sq8_np16,0.004667,0.013333,2.857143,-23.783333,26.666667,judge
sq8_np16,sq8_np8,0.052444,-0.008889,-0.169492,-0.619876,0.248963,judge
sq8_np8,pq_np256,0.048889,-0.013333,-0.272727,-1.077925,0.387605,judge
pq_np256,sq8_np4,0.016444,0.057778,3.513514,-15.651786,27.272727,judge
sq8_np4,rabitq_np256,0.019556,-0.042222,-2.159091,-15.0,3.468155,judge
rabitq_np256,mrl_512_sq8_np512,0.023556,0.008889,0.377358,-0.901639,1.956522,judge
sq8_np512,sq8_np64,0.022889,0.013333,0.582524,-0.217391,1.463415,em
sq8_np64,refine_np64,0.001778,-0.015556,-8.75,-70.0,60.0,em
refine_np64,pca_uc_512_sq8_np512,0.003111,0.011111,3.571429,-32.0,30.0,em
pca_uc_512_sq8_np512,pca_uc_384_sq8_np512,0.041111,0.004444,0.108108,-0.454545,0.670742,em
pca_uc_384_sq8_np512,sq8_np16,0.004667,0.004444,0.952381,-20.0,18.571429,em
sq8_np16,sq8_np8,0.052444,0.0,0.0,-0.339004,0.329242,em
sq8_np8,pq_np256,0.048889,-0.02,-0.409091,-1.116505,0.127136,em
pq_np256,sq8_np4,0.016444,0.04,2.432432,-9.612857,18.371795,em
sq8_np4,rabitq_np256,0.019556,-0.037778,-1.931818,-13.333333,3.137241,em
rabitq_np256,mrl_512_sq8_np512,0.023556,0.024444,1.037736,-0.084764,2.963065,em
sq8_np512,sq8_np64,0.022889,0.016288,0.711631,-0.019936,1.559511,f1
sq8_np64,refine_np64,0.001778,-0.022553,-12.685875,-93.264,77.509,f1
refine_np64,pca_uc_512_sq8_np512,0.003111,0.009256,2.975214,-28.7999,30.1774,f1
pca_uc_512_sq8_np512,pca_uc_384_sq8_np512,0.041111,0.009536,0.231962,-0.285246,0.766406,f1
pca_uc_384_sq8_np512,sq8_np16,0.004667,0.005291,1.133762,-18.166181,18.323234,f1
sq8_np16,sq8_np8,0.052444,0.001531,0.029191,-0.319658,0.360732,f1
sq8_np8,pq_np256,0.048889,-0.022028,-0.450582,-1.159089,0.090977,f1
pq_np256,sq8_np4,0.016444,0.045479,2.765635,-11.208539,20.586127,f1
sq8_np4,rabitq_np256,0.019556,-0.041494,-2.121841,-14.901969,3.518526,f1
rabitq_np256,mrl_512_sq8_np512,0.023556,0.018452,0.783358,-0.281507,2.481079,f1
sq8_np512,sq8_np64,0.022889,0.011111,0.485437,0.111111,0.909091,answer_presence_at_10
sq8_np64,refine_np64,0.001778,0.0,0.0,-10.0,10.0,answer_presence_at_10
refine_np64,pca_uc_512_sq8_np512,0.003111,-0.006667,-2.142857,-20.0,20.0,answer_presence_at_10
pca_uc_512_sq8_np512,pca_uc_384_sq8_np512,0.041111,0.004444,0.108108,-0.184056,0.419162,answer_presence_at_10
pca_uc_384_sq8_np512,sq8_np16,0.004667,0.011111,2.380952,-16.666667,20.0,answer_presence_at_10
sq8_np16,sq8_np8,0.052444,0.015556,0.29661,0.104507,0.524394,answer_presence_at_10
sq8_np8,pq_np256,0.048889,-0.017778,-0.363636,-1.085973,0.213527,answer_presence_at_10
pq_np256,sq8_np4,0.016444,0.062222,3.783784,-16.164835,28.371795,answer_presence_at_10
sq8_np4,rabitq_np256,0.019556,-0.053333,-2.727273,-19.482895,4.87,answer_presence_at_10
rabitq_np256,mrl_512_sq8_np512,0.023556,0.002222,0.09434,-1.403509,1.549323,answer_presence_at_10
