arm,n,recall,recall_ci_lo,recall_ci_hi,quality,quality_ci_lo,quality_ci_hi,delta_vs_ref,delta_ci_lo,delta_ci_hi,class,metric,family
sq8_np512,450,0.992,0.989333,0.994444,0.8177777777777778,0.782222,0.853333,0.0,0.0,0.0,reference,answer_presence_at_10,reference
sq8_np64,450,0.9691111111111111,0.962889,0.975111,0.8066666666666666,0.768889,0.842222,0.011111,0.002222,0.022222,DROP,answer_presence_at_10,pruning
refine_np64,450,0.9673333333333333,0.960222,0.974222,0.8066666666666666,0.768889,0.842222,0.011111,0.0,0.024444,PLATEAU,answer_presence_at_10,pruning
pca_uc_512_sq8_np512,450,0.9642222222222223,0.959333,0.968889,0.8133333333333334,0.777778,0.848889,0.004444,-0.004444,0.013333,PLATEAU,answer_presence_at_10,truncation
pca_uc_384_sq8_np512,450,0.9231111111111113,0.916222,0.93,0.8088888888888889,0.773333,0.844444,0.008889,-0.004444,0.022222,PLATEAU,answer_presence_at_10,truncation
sq8_np16,450,0.9184444444444445,0.906439,0.930006,0.7977777777777778,0.76,0.835556,0.02,0.002222,0.037778,DROP,answer_presence_at_10,pruning
sq8_np8,450,0.8660000000000001,0.850222,0.881778,0.7822222222222223,0.744444,0.82,0.035556,0.015556,0.057778,DROP,answer_presence_at_10,pruning
pq_np256,450,0.8171111111111112,0.807111,0.827111,0.8,0.762222,0.835556,0.017778,-0.004444,0.042222,PLATEAU,answer_presence_at_10,quantization
sq8_np4,450,0.8006666666666669,0.780889,0.820444,0.7377777777777778,0.695556,0.777778,0.08,0.053333,0.108889,DROP,answer_presence_at_10,pruning
rabitq_np256,450,0.7811111111111112,0.769994,0.792222,0.7911111111111111,0.753333,0.828889,0.026667,0.002222,0.051111,DROP,answer_presence_at_10,quantization
mrl_512_sq8_np512,450,0.7575555555555556,0.744444,0.77045,0.7888888888888889,0.751111,0.826667,0.028889,0.002222,0.053333,DROP,answer_presence_at_10,truncation
parametric,450,,,,,,,,,,floor,answer_presence_at_10,none
sq8_np512,450,0.992,0.989333,0.994444,0.25333333333333335,0.213333,0.293333,0.0,0.0,0.0,reference,em,reference
sq8_np64,450,0.9691111111111111,0.962889,0.975111,0.24,0.2,0.28,0.013333,-0.004444,0.031111,PLATEAU,em,pruning
refine_np64,450,0.9673333333333333,0.960222,0.974222,0.25555555555555554,0.215556,0.295556,-0.002222,-0.02,0.015556,PLATEAU,em,pruning
pca_uc_512_sq8_np512,450,0.9642222222222223,0.959333,0.968889,0.24444444444444444,0.204444,0.284444,0.008889,-0.011111,0.031111,PLATEAU,em,truncation
pca_uc_384_sq8_np512,450,0.9231111111111113,0.916222,0.93,0.24,0.2,0.28,0.013333,-0.008889,0.035556,PLATEAU,em,truncation
sq8_np16,450,0.9184444444444445,0.906439,0.930006,0.23555555555555555,0.197778,0.275556,0.017778,-0.002222,0.04,PLATEAU,em,pruning
sq8_np8,450,0.8660000000000001,0.850222,0.881778,0.23555555555555555,0.195556,0.275556,0.017778,-0.004444,0.042222,PLATEAU,em,pruning
pq_np256,450,0.8171111111111112,0.807111,0.827111,0.25555555555555554,0.215556,0.295556,-0.002222,-0.028889,0.024444,PLATEAU,em,quantization
sq8_np4,450,0.8006666666666669,0.780889,0.820444,0.21555555555555556,0.177778,0.253333,0.037778,0.011111,0.064444,DROP,em,pruning
rabitq_np256,450,0.7811111111111112,0.769994,0.792222,0.25333333333333335,0.215556,0.293333,0.0,-0.024444,0.024444,PLATEAU,em,quantization
mrl_512_sq8_np512,450,0.7575555555555556,0.744444,0.77045,0.2288888888888889,0.191111,0.268889,0.024444,0.0,0.048889,PLATEAU,em,truncation
parametric,450,,,,0.14666666666666667,0.11555555555555555,0.18,,,,floor,em,none
sq8_np512,450,0.992,0.989333,0.994444,0.34131711111111107,0.302608,0.380777,0.0,0.0,0.0,reference,f1,reference
sq8_np64,450,0.9691111111111111,0.962889,0.975111,0.3250286666666667,0.286749,0.363949,0.016288,-0.000455,0.034019,PLATEAU,f1,pruning
refine_np64,450,0.9673333333333333,0.960222,0.974222,0.34758133333333335,0.308716,0.387043,-0.006264,-0.023866,0.011582,PLATEAU,f1,pruning
pca_uc_512_sq8_np512,450,0.9642222222222223,0.959333,0.968889,0.33832511111111113,0.30033,0.376872,0.002992,-0.017385,0.023637,PLATEAU,f1,truncation
pca_uc_384_sq8_np512,450,0.9231111111111113,0.916222,0.93,0.3287888888888889,0.290675,0.36719,0.012528,-0.00903,0.034375,PLATEAU,f1,truncation
