arm,n,recall,recall_ci_lo,recall_ci_hi,quality,quality_ci_lo,quality_ci_hi,delta_vs_ref,delta_ci_lo,delta_ci_hi,class,metric,family,parametric_floor,floor_tier,n_excluded
sq8_np512,353,0.9920679886685554,0.988952,0.994901,0.43626062322946174,0.385269,0.487252,0.0,0.0,0.0,reference,judge,reference,0.21555555555555556,partial_leak,97
sq8_np64,353,0.9711048158640226,0.964306,0.97762,0.4164305949008499,0.365439,0.467422,0.01983,-0.002833,0.042493,PLATEAU,judge,pruning,0.21555555555555556,partial_leak,97
refine_np64,353,0.969971671388102,0.96204,0.977337,0.43342776203966005,0.382436,0.484419,0.002833,-0.022663,0.031161,PLATEAU,judge,pruning,0.21555555555555556,partial_leak,97
pca_uc_512_sq8_np512,353,0.9660056657223796,0.960623,0.971388,0.42209631728045327,0.371105,0.473088,0.014164,-0.014164,0.042493,PLATEAU,judge,truncation,0.21555555555555556,partial_leak,97
pca_uc_384_sq8_np512,353,0.9243626062322948,0.916714,0.932011,0.4192634560906516,0.368272,0.470255,0.016997,-0.011331,0.048159,PLATEAU,judge,truncation,0.21555555555555556,partial_leak,97
sq8_np16,353,0.9235127478753541,0.910198,0.936261,0.40509915014164305,0.354108,0.456091,0.031161,0.005666,0.056657,DROP,judge,pruning,0.21555555555555556,partial_leak,97
sq8_np8,353,0.8745042492917847,0.8575,0.890652,0.42209631728045327,0.371105,0.473088,0.014164,-0.016997,0.045326,PLATEAU,judge,pruning,0.21555555555555556,partial_leak,97
pq_np256,353,0.8167138810198301,0.805382,0.828045,0.42776203966005666,0.376771,0.478754,0.008499,-0.025496,0.042493,PLATEAU,judge,quantization,0.21555555555555556,partial_leak,97
sq8_np4,353,0.8090651558073655,0.788102,0.829745,0.37960339943342775,0.328612,0.430595,0.056657,0.022663,0.090652,DROP,judge,pruning,0.21555555555555556,partial_leak,97
rabitq_np256,353,0.7813031161473089,0.768555,0.793768,0.41359773371104813,0.362606,0.464589,0.022663,-0.011331,0.056657,INCONCLUSIVE,judge,quantization,0.21555555555555556,partial_leak,97
mrl_512_sq8_np512,353,0.7580736543909349,0.743909,0.771955,0.40226628895184136,0.351275,0.453258,0.033994,0.005666,0.062323,DROP,judge,truncation,0.21555555555555556,partial_leak,97
