arm,family,n,recall,judge,judge_ci_lo,judge_ci_hi,em,f1,answer_presence_at_10,judge_main,pass_at_100_fraction,spearman_vs_main_ordering
sq8_np512,reference,50,0.996,0.36,0.22,0.5,0.2,0.294028,0.52,0.49777777777777776,0.62,0.5449016500426275
pca_uc_512_sq8_np512,truncation,50,0.966,0.36,0.22,0.5,0.2,0.253546,0.52,0.4866666666666667,0.62,0.5449016500426275
sq8_np64,pruning,50,0.958,0.36,0.22,0.5,0.18,0.27123800000000003,0.52,0.48,0.62,0.5449016500426275
refine_np64,pruning,50,0.95,0.38,0.24,0.52,0.16,0.22835999999999998,0.52,0.4955555555555556,0.62,0.5449016500426275
pca_uc_384_sq8_np512,truncation,50,0.9359999999999999,0.34,0.22,0.48,0.22,0.258888,0.52,0.48444444444444446,0.62,0.5449016500426275
sq8_np16,pruning,50,0.8999999999999999,0.34,0.22,0.48,0.16,0.256142,0.5,0.4711111111111111,0.62,0.5449016500426275
sq8_np8,pruning,50,0.8599999999999999,0.36,0.22,0.5,0.16,0.25801999999999997,0.48,0.48,0.62,0.5449016500426275
sq8_np4,pruning,50,0.818,0.34,0.22,0.48,0.18,0.24567799999999998,0.48,0.43555555555555553,0.62,0.5449016500426275
pq_np256,quantization,50,0.812,0.36,0.22,0.5,0.22,0.28393,0.52,0.49333333333333335,0.62,0.5449016500426275
mrl_512_sq8_np512,truncation,50,0.7979999999999999,0.36,0.22,0.5,0.2,0.265772,0.52,0.4688888888888889,0.62,0.5449016500426275
rabitq_np256,quantization,50,0.79,0.36,0.22,0.5,0.2,0.25268,0.52,0.4777777777777778,0.62,0.5449016500426275
parametric,none,50,,0.14,0.06,0.24,0.1,0.118888,,0.21555555555555556,0.62,0.5449016500426275
