arm,n,recall,recall_ci_lo,recall_ci_hi,quality,quality_ci_lo,quality_ci_hi,delta_vs_ref,delta_ci_lo,delta_ci_hi,class,stratum,metric
sq8_np512,370,0.9913513513513516,0.988372,0.994324,0.5783783783783784,0.527027,0.62973,0.0,0.0,0.0,reference,gold_in_exact_top10,judge
pca_uc_512_sq8_np512,370,0.9640540540540542,0.958378,0.969189,0.5648648648648649,0.513514,0.616216,0.013514,-0.013514,0.043243,PLATEAU,gold_in_exact_top10,judge
pca_uc_384_sq8_np512,370,0.9245945945945947,0.916757,0.931892,0.5567567567567567,0.505405,0.608108,0.021622,-0.010811,0.051351,INCONCLUSIVE,gold_in_exact_top10,judge
mrl_512_sq8_np512,370,0.7654054054054056,0.751351,0.779189,0.5351351351351351,0.483784,0.586486,0.043243,0.013514,0.075676,DROP,gold_in_exact_top10,judge
pq_np256,370,0.820810810810811,0.80973,0.831892,0.5675675675675675,0.516216,0.616216,0.010811,-0.021622,0.043243,PLATEAU,gold_in_exact_top10,judge
rabitq_np256,370,0.785945945945946,0.773514,0.798108,0.5432432432432432,0.491892,0.594595,0.035135,0.002703,0.07027,DROP,gold_in_exact_top10,judge
refine_np64,370,0.9670270270270273,0.958378,0.974595,0.5783783783783784,0.527027,0.62973,0.0,-0.027027,0.024324,PLATEAU,gold_in_exact_top10,judge
sq8_np64,370,0.9681081081081082,0.960811,0.974865,0.5594594594594594,0.508108,0.610811,0.018919,-0.002703,0.040541,PLATEAU,gold_in_exact_top10,judge
sq8_np16,370,0.9151351351351352,0.900811,0.928378,0.5432432432432432,0.491892,0.594595,0.035135,0.010811,0.059459,DROP,gold_in_exact_top10,judge
sq8_np4,370,0.7972972972972973,0.774865,0.818919,0.5,0.448649,0.551351,0.078378,0.043243,0.116216,DROP,gold_in_exact_top10,judge
sq8_np8,370,0.8645945945945945,0.845946,0.881892,0.5513513513513514,0.5,0.602703,0.027027,-0.002703,0.056757,INCONCLUSIVE,gold_in_exact_top10,judge
sq8_np512,80,0.9949999999999999,0.99,0.99875,0.125,0.0625,0.2,0.0,0.0,0.0,reference,gold_only_in_ranks_11_100,judge
pca_uc_512_sq8_np512,80,0.9650000000000001,0.95375,0.975,0.125,0.0625,0.2,0.0,-0.05,0.05,INCONCLUSIVE,gold_only_in_ranks_11_100,judge
pca_uc_384_sq8_np512,80,0.9162500000000001,0.8975,0.9325,0.15,0.075,0.2375,-0.025,-0.075,0.025,PLATEAU,gold_only_in_ranks_11_100,judge
mrl_512_sq8_np512,80,0.7212500000000001,0.6875,0.75375,0.1625,0.0875,0.25,-0.0375,-0.0875,0.0,PLATEAU,gold_only_in_ranks_11_100,judge
pq_np256,80,0.8,0.775,0.82375,0.15,0.075,0.2375,-0.025,-0.075,0.025,PLATEAU,gold_only_in_ranks_11_100,judge
rabitq_np256,80,0.75875,0.72875,0.78875,0.175,0.1,0.2625,-0.05,-0.1,-0.0125,PLATEAU,gold_only_in_ranks_11_100,judge
refine_np64,80,0.96875,0.955,0.98125,0.1125,0.05,0.1875,0.0125,-0.025,0.05,INCONCLUSIVE,gold_only_in_ranks_11_100,judge
sq8_np64,80,0.9737500000000001,0.96125,0.985,0.1125,0.05,0.1875,0.0125,-0.025,0.0625,INCONCLUSIVE,gold_only_in_ranks_11_100,judge
sq8_np16,80,0.9337500000000001,0.9125,0.9525,0.1375,0.0625,0.2125,-0.0125,-0.075,0.05,INCONCLUSIVE,gold_only_in_ranks_11_100,judge
sq8_np4,80,0.8162500000000001,0.77375,0.85875,0.1375,0.0625,0.2125,-0.0125,-0.075,0.0375,PLATEAU,gold_only_in_ranks_11_100,judge
sq8_np8,80,0.8725000000000002,0.84,0.90375,0.15,0.075,0.2375,-0.025,-0.0875,0.0375,PLATEAU,gold_only_in_ranks_11_100,judge
