qid,provenance_titles
30,The Hunger Games (novel)|The Very Hungry Caterpillar
45,Flag of the Netherlands
60,List of Tom and Jerry characters|War Dogs (1943 film)
108,Chinese alligator|Chinese dragon
180,Prince Constantijn of the Netherlands|Queen Máxima of the Netherlands
233,Central processing unit|John Vincent Atanasoff
235,Safe Haven (film)
261,Rio Bravo (film)
268,1980 Summer Olympics boycott|United States at the 2008 Summer Olympics
287,6B (Fringe)|Hamlet|Rosencrantz and Guildenstern Are Dead
307,Winnie-the-Pooh
352,Ashrita Furman|Guinness World Records
371,Agriculture in New Zealand
399,Hedgerows Regulations 1997|History of fire safety legislation in the United Kingdom
419,Harry Potter and the Deathly Hallows|Harry Potter and the Philosopher's Stone|Harry Potter and the Philosopher's Stone (film)|Harry Potter and the Prisoner of Azkaban
433,Galactic Empire (Star Wars)|Palpatine|Star Wars
444,Seattle Slew|Seattle Song
453,Coronary circulation|Left anterior descending artery|Left coronary artery
476,List of Boston Red Sox no-hitters
484,Routing table
486,Quantum Leap
496,Michigan Wolverines football|Michigan Wolverines men's basketball
518,In the Heat of the Night (TV series)
523,Robinson (name)
553,Pitch Perfect 2|Pitch Perfect 3
606,Julie Kavner
614,Alice Through the Looking Glass (2016 film)|Alice in Wonderland (2010 film)|Alice in Wonderland (2010 video game)|Keith Gordon
642,Kudzu|Kudzu in the United States
715,Canon of the Mass|Latin Mass|Tridentine Mass
753,Fiddler on the Roof|Fiddler on the Roof (film)
784,Metric system|SI base unit|SI derived unit|Unified Code for Units of Measure
861,Battle of Ypres|Battle of the Lys and the Escaut|First Battle of Artois
873,History of Scandinavia|List of shipwrecks in the 1st millennium|Viking expansion
891,Puerto Rico Electric Power Authority
937,Permanent members of the United Nations Security Council|United Nations Security Council
972,Jordan River
987,"Ponchatoula, Louisiana|Saint Malo, Louisiana|Spanish moss"
990,List of human anatomical features|List of human anatomical regions|Pelvis
1016,Wonder Woman|Wonder Woman (comic book)
1020,Damien (South Park)|Greatest Heavyweights|Michael Buffer|Taking the piss
1026,Mission Nuestra Señora de la Soledad|Mission Santa Barbara
1032,Continental drift|Timeline of the development of tectonophysics (after 1952)|Timeline of the development of tectonophysics (before 1954)
1048,"John Sainsbury, Baron Sainsbury of Preston Candover|Tesco|Tesco (disambiguation)"
1063,1948 World Series|2016 World Series
1065,Love & Hip Hop|Love & Hip Hop: New York
1071,800 metres at the Olympics|Muhammad Ali
1088,Emma Swan
1094,Angina|New York Heart Association Functional Classification
