arm,recall,quality,delta,ci_lo,ci_hi,class
sq8_np512,0.990462,0.6,0.0,0.0,0.0,reference
refine_np64,0.967692,0.609231,-0.009231,-0.036923,0.018462,PLATEAU
sq8_np64,0.967385,0.578462,0.021538,0.0,0.046154,PLATEAU
pca_uc_512_sq8_np512,0.963385,0.581538,0.018462,-0.012308,0.049231,PLATEAU
pca_uc_384_sq8_np512,0.924615,0.584615,0.015385,-0.015385,0.046154,PLATEAU
sq8_np16,0.913846,0.563077,0.036923,0.009231,0.064615,DROP
sq8_np8,0.862462,0.575385,0.024615,-0.009231,0.058462,INCONCLUSIVE
pq_np256,0.820923,0.584615,0.015385,-0.018462,0.049231,PLATEAU
sq8_np4,0.797538,0.52,0.08,0.043077,0.12,DROP
rabitq_np256,0.783692,0.553846,0.046154,0.012308,0.083077,DROP
mrl_512_sq8_np512,0.762462,0.550769,0.049231,0.018462,0.083077,DROP
