arm,rule,n_present,conversion,decline_rate,error_rate
mrl_512_sq8_np512,corrected,301,0.581395,0.295681,0.129568
pca_uc_384_sq8_np512,corrected,320,0.590625,0.2875,0.121875
pca_uc_512_sq8_np512,corrected,322,0.586957,0.28882,0.127329
pq_np256,corrected,311,0.607717,0.289389,0.109325
rabitq_np256,corrected,307,0.579805,0.296417,0.127036
refine_np64,corrected,319,0.62069,0.275862,0.103448
sq8_np16,corrected,313,0.584665,0.300319,0.121406
sq8_np4,corrected,291,0.57732,0.305842,0.120275
sq8_np512,corrected,323,0.603715,0.28483,0.114551
sq8_np64,corrected,320,0.5875,0.29375,0.11875
sq8_np8,corrected,307,0.609121,0.306189,0.087948
mrl_512_sq8_np512,ws4_published,355,0.55493,0.309859,0.135211
pca_uc_384_sq8_np512,ws4_published,364,0.563187,0.299451,0.137363
pca_uc_512_sq8_np512,ws4_published,366,0.571038,0.303279,0.128415
pq_np256,ws4_published,360,0.586111,0.297222,0.119444
rabitq_np256,ws4_published,356,0.564607,0.300562,0.134831
refine_np64,ws4_published,363,0.589532,0.300275,0.110193
sq8_np16,ws4_published,359,0.562674,0.306407,0.133705
sq8_np4,ws4_published,332,0.557229,0.316265,0.129518
sq8_np512,ws4_published,368,0.581522,0.288043,0.130435
sq8_np64,ws4_published,363,0.567493,0.305785,0.126722
sq8_np8,ws4_published,352,0.582386,0.318182,0.099432
