arm,n_rows,n_presence_wb,n_provenance,d_plus_joint,d_minus_joint,d_plus_conditional,d_minus_conditional,agreement,n_fp,n_fn
POOLED,1364,1127,1159,0.08651,0.109971,0.104703,0.632911,0.803519,118,150
mrl_512_sq8_np512,124,101,103,0.080645,0.096774,0.09901,0.521739,0.822581,10,12
pca_uc_384_sq8_np512,124,105,106,0.08871,0.096774,0.104762,0.631579,0.814516,11,12
pca_uc_512_sq8_np512,124,104,106,0.08871,0.104839,0.105769,0.65,0.806452,11,13
pq_np256,124,104,106,0.080645,0.096774,0.096154,0.6,0.822581,10,12
rabitq_np256,124,101,107,0.08871,0.137097,0.108911,0.73913,0.774194,11,17
refine_np64,124,104,105,0.096774,0.104839,0.115385,0.65,0.798387,12,13
sq8_np16,124,104,105,0.096774,0.104839,0.115385,0.65,0.798387,12,13
sq8_np4,124,96,104,0.072581,0.137097,0.09375,0.607143,0.790323,9,17
sq8_np512,124,104,106,0.08871,0.104839,0.105769,0.65,0.806452,11,13
sq8_np64,124,103,105,0.08871,0.104839,0.106796,0.619048,0.806452,11,13
sq8_np8,124,101,106,0.080645,0.120968,0.09901,0.652174,0.798387,10,15
