qid,arm,recall_at_10,presence_wb,provenance_at_10,presence_wb_on_gold_page,n_gold_titles,n_gold_titles_hit,judge_correct,idk_corrected,in_primary
30,mrl_512_sq8_np512,0.9,True,True,True,1,1,True,False,True
30,pca_uc_384_sq8_np512,0.9,True,True,True,1,1,True,False,True
30,pca_uc_512_sq8_np512,1.0,True,True,True,1,1,True,False,True
30,pq_np256,1.0,True,True,True,1,1,True,False,True
30,rabitq_np256,0.7,True,True,True,1,1,True,False,True
30,refine_np64,1.0,True,True,True,1,1,True,False,True
30,sq8_np16,1.0,True,True,True,1,1,True,False,True
30,sq8_np4,1.0,True,True,True,1,1,True,False,True
30,sq8_np512,0.9,True,True,True,1,1,True,False,True
30,sq8_np64,1.0,True,True,True,1,1,True,False,True
30,sq8_np8,1.0,True,True,True,1,1,True,False,True
45,mrl_512_sq8_np512,0.9,True,True,True,1,1,True,False,True
45,pca_uc_384_sq8_np512,1.0,True,True,True,1,1,True,False,True
45,pca_uc_512_sq8_np512,1.0,True,True,True,1,1,True,False,True
45,pq_np256,0.9,True,True,True,1,1,True,False,True
45,rabitq_np256,0.9,True,True,True,1,1,True,False,True
45,refine_np64,1.0,True,True,True,1,1,True,False,True
45,sq8_np16,1.0,True,True,True,1,1,True,False,True
45,sq8_np4,1.0,True,True,True,1,1,True,False,True
45,sq8_np512,1.0,True,True,True,1,1,True,False,True
45,sq8_np64,1.0,True,True,True,1,1,True,False,True
45,sq8_np8,1.0,True,True,True,1,1,True,False,True
60,mrl_512_sq8_np512,0.8,True,True,True,1,1,True,False,True
60,pca_uc_384_sq8_np512,1.0,True,True,True,1,1,True,False,True
60,pca_uc_512_sq8_np512,1.0,True,True,True,1,1,True,False,True
60,pq_np256,0.9,True,True,True,1,1,True,False,True
60,rabitq_np256,0.7,True,True,True,1,1,True,False,True
60,refine_np64,1.0,True,True,True,1,1,True,False,True
60,sq8_np16,1.0,True,True,True,1,1,True,False,True
60,sq8_np4,1.0,True,True,True,1,1,True,False,True
60,sq8_np512,1.0,True,True,True,1,1,True,False,True
60,sq8_np64,1.0,True,True,True,1,1,True,False,True
60,sq8_np8,1.0,True,True,True,1,1,True,False,True
108,mrl_512_sq8_np512,0.8,True,True,True,1,1,True,False,True
108,pca_uc_384_sq8_np512,0.9,True,True,True,1,1,True,False,True
108,pca_uc_512_sq8_np512,0.9,True,True,True,1,1,True,False,True
108,pq_np256,0.9,True,True,True,1,1,True,False,True
108,rabitq_np256,0.9,True,True,True,1,1,True,False,True
108,refine_np64,1.0,True,True,True,1,1,True,False,True
108,sq8_np16,1.0,True,True,True,1,1,True,False,True
108,sq8_np4,1.0,True,True,True,1,1,True,False,True
108,sq8_np512,1.0,True,True,True,1,1,True,False,True
108,sq8_np64,1.0,True,True,True,1,1,True,False,True
108,sq8_np8,1.0,True,True,True,1,1,True,False,True
180,mrl_512_sq8_np512,0.8,True,True,True,2,2,True,False,False
180,pca_uc_384_sq8_np512,0.8,False,True,False,2,2,True,False,False
180,pca_uc_512_sq8_np512,0.9,False,True,False,2,2,True,False,False
180,pq_np256,0.8,False,True,False,2,2,True,False,False
180,rabitq_np256,0.8,False,True,False,2,2,True,False,False
180,refine_np64,0.9,False,True,False,2,2,True,False,False
180,sq8_np16,1.0,False,True,False,2,2,True,False,False
180,sq8_np4,1.0,False,True,False,2,2,True,False,False
180,sq8_np512,1.0,False,True,False,2,2,True,False,False
180,sq8_np64,1.0,False,True,False,2,2,True,False,False
180,sq8_np8,1.0,False,True,False,2,2,True,False,False
233,mrl_512_sq8_np512,0.8,False,False,False,1,0,False,True,False
233,pca_uc_384_sq8_np512,0.9,False,False,False,1,0,False,True,False
233,pca_uc_512_sq8_np512,1.0,False,False,False,1,0,False,True,False
233,pq_np256,0.9,False,False,False,1,0,False,True,False
233,rabitq_np256,0.8,False,False,False,1,0,False,True,False
233,refine_np64,1.0,False,False,False,1,0,False,True,False
233,sq8_np16,1.0,False,False,False,1,0,False,True,False
233,sq8_np4,0.9,False,False,False,1,0,False,True,False
233,sq8_np512,1.0,False,False,False,1,0,False,True,False
233,sq8_np64,1.0,False,False,False,1,0,False,True,False
233,sq8_np8,0.9,False,False,False,1,0,False,True,False
235,mrl_512_sq8_np512,0.8,True,True,True,1,1,True,False,False
235,pca_uc_384_sq8_np512,0.8,True,True,True,1,1,True,False,False
235,pca_uc_512_sq8_np512,0.9,False,True,False,1,1,True,False,False
235,pq_np256,0.8,False,True,False,1,1,True,False,False
235,rabitq_np256,0.6,False,True,False,1,1,True,False,False
235,refine_np64,1.0,False,True,False,1,1,True,False,False
235,sq8_np16,0.9,False,True,False,1,1,True,False,False
235,sq8_np4,0.8,False,True,False,1,1,True,False,False
235,sq8_np512,1.0,False,True,False,1,1,True,False,False
235,sq8_np64,1.0,False,True,False,1,1,True,False,False
235,sq8_np8,0.9,False,True,False,1,1,True,False,False
261,mrl_512_sq8_np512,0.8,True,True,True,1,1,True,False,True
261,pca_uc_384_sq8_np512,0.9,True,True,True,1,1,True,False,True
261,pca_uc_512_sq8_np512,0.9,True,True,True,1,1,True,False,True
261,pq_np256,0.9,True,True,True,1,1,True,False,True
261,rabitq_np256,0.8,True,True,True,1,1,True,False,True
261,refine_np64,1.0,True,True,True,1,1,True,False,True
261,sq8_np16,0.9,True,True,True,1,1,False,True,True
261,sq8_np4,0.6,True,True,True,1,1,False,True,True
261,sq8_np512,1.0,True,True,True,1,1,True,False,True
261,sq8_np64,0.9,True,True,True,1,1,True,False,True
261,sq8_np8,0.6,True,True,True,1,1,False,True,True
268,mrl_512_sq8_np512,0.5,True,True,True,1,1,True,False,True
268,pca_uc_384_sq8_np512,0.7,True,True,True,1,1,True,False,True
268,pca_uc_512_sq8_np512,0.8,True,True,True,1,1,True,False,True
268,pq_np256,0.8,True,True,True,1,1,True,False,True
268,rabitq_np256,0.8,True,True,True,1,1,True,False,True
268,refine_np64,0.9,True,True,True,1,1,True,False,True
268,sq8_np16,1.0,True,True,True,1,1,True,False,True
268,sq8_np4,0.8,True,True,True,1,1,True,False,True
268,sq8_np512,1.0,True,True,True,1,1,True,False,True
268,sq8_np64,1.0,True,True,True,1,1,True,False,True
268,sq8_np8,0.9,True,True,True,1,1,True,False,True
287,mrl_512_sq8_np512,0.9,True,False,False,1,0,True,False,True
287,pca_uc_384_sq8_np512,0.9,True,False,False,1,0,True,False,True
287,pca_uc_512_sq8_np512,1.0,True,False,False,1,0,True,False,True
287,pq_np256,0.8,True,False,False,1,0,True,False,True
287,rabitq_np256,0.7,True,False,False,1,0,True,False,True
287,refine_np64,1.0,True,False,False,1,0,True,False,True
287,sq8_np16,0.9,True,False,False,1,0,True,False,True
287,sq8_np4,0.5,True,False,False,1,0,True,False,True
287,sq8_np512,1.0,True,False,False,1,0,True,False,True
287,sq8_np64,1.0,True,False,False,1,0,True,False,True
287,sq8_np8,0.6,True,True,True,1,1,True,False,True
307,mrl_512_sq8_np512,0.7,True,True,True,1,1,True,False,True
307,pca_uc_384_sq8_np512,0.8,True,True,True,1,1,True,False,True
307,pca_uc_512_sq8_np512,1.0,True,True,True,1,1,True,False,True
307,pq_np256,0.9,True,True,True,1,1,True,False,True
307,rabitq_np256,0.8,True,True,True,1,1,True,False,True
307,refine_np64,1.0,True,True,True,1,1,True,False,True
307,sq8_np16,1.0,True,True,True,1,1,True,False,True
307,sq8_np4,1.0,True,True,True,1,1,True,False,True
307,sq8_np512,1.0,True,True,True,1,1,True,False,True
307,sq8_np64,1.0,True,True,True,1,1,True,False,True
307,sq8_np8,1.0,True,True,True,1,1,True,False,True
352,mrl_512_sq8_np512,0.7,True,True,True,1,1,True,False,True
352,pca_uc_384_sq8_np512,0.9,True,True,True,1,1,True,False,True
352,pca_uc_512_sq8_np512,0.9,True,True,True,1,1,True,False,True
352,pq_np256,0.7,True,True,True,1,1,True,False,True
352,rabitq_np256,0.9,True,True,True,1,1,True,False,True
352,refine_np64,1.0,True,True,True,1,1,True,False,True
352,sq8_np16,0.9,True,True,True,1,1,True,False,True
352,sq8_np4,0.6,True,True,True,1,1,True,False,True
352,sq8_np512,1.0,True,True,True,1,1,True,False,True
352,sq8_np64,1.0,True,True,True,1,1,True,False,True
352,sq8_np8,0.8,True,True,True,1,1,True,False,True
371,mrl_512_sq8_np512,0.8,True,True,True,1,1,True,False,True
371,pca_uc_384_sq8_np512,0.9,True,True,True,1,1,True,False,True
371,pca_uc_512_sq8_np512,0.9,True,True,True,1,1,True,False,True
371,pq_np256,0.9,True,True,True,1,1,True,False,True
371,rabitq_np256,0.7,True,True,True,1,1,True,False,True
371,refine_np64,1.0,True,True,True,1,1,True,False,True
371,sq8_np16,1.0,True,True,True,1,1,True,False,True
371,sq8_np4,1.0,True,True,True,1,1,True,False,True
371,sq8_np512,1.0,True,True,True,1,1,True,False,True
371,sq8_np64,1.0,True,True,True,1,1,True,False,True
371,sq8_np8,1.0,True,True,True,1,1,True,False,True
399,mrl_512_sq8_np512,1.0,True,True,True,2,1,True,False,True
399,pca_uc_384_sq8_np512,1.0,True,True,True,2,1,True,False,True
399,pca_uc_512_sq8_np512,1.0,True,True,True,2,1,True,False,True
399,pq_np256,0.9,True,True,True,2,1,True,False,True
399,rabitq_np256,1.0,True,True,True,2,1,True,False,True
399,refine_np64,1.0,True,True,True,2,1,True,False,True
399,sq8_np16,1.0,True,True,True,2,1,True,False,True
399,sq8_np4,1.0,True,True,True,2,1,True,False,True
399,sq8_np512,1.0,True,True,True,2,1,True,False,True
399,sq8_np64,1.0,True,True,True,2,1,True,False,True
399,sq8_np8,1.0,True,True,True,2,1,True,False,True
419,mrl_512_sq8_np512,0.9,True,True,True,1,1,True,False,True
419,pca_uc_384_sq8_np512,0.9,True,True,True,1,1,True,False,True
419,pca_uc_512_sq8_np512,0.9,True,True,True,1,1,True,False,True
419,pq_np256,0.9,True,True,True,1,1,True,False,True
419,rabitq_np256,1.0,True,True,True,1,1,True,False,True
419,refine_np64,1.0,True,True,True,1,1,True,False,True
419,sq8_np16,0.9,True,True,True,1,1,True,False,True
419,sq8_np4,0.9,True,True,True,1,1,True,False,True
419,sq8_np512,0.9,True,True,True,1,1,True,False,True
419,sq8_np64,0.9,True,True,True,1,1,True,False,True
419,sq8_np8,0.9,True,True,True,1,1,True,False,True
433,mrl_512_sq8_np512,0.8,True,True,False,1,1,True,False,True
433,pca_uc_384_sq8_np512,1.0,True,True,False,1,1,True,False,True
433,pca_uc_512_sq8_np512,1.0,True,True,False,1,1,True,False,True
433,pq_np256,0.8,True,True,False,1,1,True,False,True
433,rabitq_np256,0.8,True,True,False,1,1,True,False,True
433,refine_np64,1.0,True,True,False,1,1,True,False,True
433,sq8_np16,1.0,True,True,False,1,1,True,False,True
433,sq8_np4,0.9,True,True,False,1,1,True,False,True
433,sq8_np512,1.0,True,True,False,1,1,True,False,True
433,sq8_np64,1.0,True,True,False,1,1,True,False,True
433,sq8_np8,1.0,True,True,False,1,1,True,False,True
444,mrl_512_sq8_np512,0.9,True,True,True,1,1,True,False,True
444,pca_uc_384_sq8_np512,0.9,True,True,True,1,1,True,False,True
444,pca_uc_512_sq8_np512,1.0,True,True,True,1,1,True,False,True
444,pq_np256,0.9,True,True,True,1,1,True,False,True
444,rabitq_np256,0.8,True,True,True,1,1,True,False,True
444,refine_np64,1.0,True,True,True,1,1,True,False,True
444,sq8_np16,1.0,True,True,True,1,1,True,False,True
444,sq8_np4,1.0,True,True,True,1,1,True,False,True
444,sq8_np512,1.0,True,True,True,1,1,True,False,True
444,sq8_np64,1.0,True,True,True,1,1,True,False,True
444,sq8_np8,1.0,True,True,True,1,1,True,False,True
453,mrl_512_sq8_np512,0.8,True,True,True,1,1,False,False,True
453,pca_uc_384_sq8_np512,0.8,True,True,True,1,1,False,False,True
453,pca_uc_512_sq8_np512,1.0,True,True,True,1,1,False,False,True
453,pq_np256,1.0,True,True,True,1,1,False,False,True
453,rabitq_np256,0.7,True,True,True,1,1,False,False,True
453,refine_np64,1.0,True,True,True,1,1,False,False,True
453,sq8_np16,1.0,True,True,True,1,1,False,False,True
453,sq8_np4,1.0,True,True,True,1,1,False,False,True
453,sq8_np512,1.0,True,True,True,1,1,False,False,True
453,sq8_np64,1.0,True,True,True,1,1,False,False,True
453,sq8_np8,1.0,True,True,True,1,1,False,False,True
476,mrl_512_sq8_np512,0.6,False,True,False,1,1,True,False,False
476,pca_uc_384_sq8_np512,0.9,False,True,False,1,1,True,False,False
476,pca_uc_512_sq8_np512,1.0,False,True,False,1,1,True,False,False
476,pq_np256,0.6,False,False,False,1,0,True,False,False
476,rabitq_np256,0.6,False,True,False,1,1,True,False,False
476,refine_np64,1.0,False,True,False,1,1,True,False,False
476,sq8_np16,1.0,False,True,False,1,1,True,False,False
476,sq8_np4,1.0,False,True,False,1,1,True,False,False
476,sq8_np512,1.0,False,True,False,1,1,True,False,False
476,sq8_np64,1.0,False,True,False,1,1,True,False,False
476,sq8_np8,1.0,False,True,False,1,1,True,False,False
484,mrl_512_sq8_np512,0.9,True,True,True,1,1,False,True,True
484,pca_uc_384_sq8_np512,0.9,True,True,True,1,1,False,True,True
484,pca_uc_512_sq8_np512,1.0,True,True,True,1,1,False,True,True
484,pq_np256,0.8,True,True,True,1,1,False,True,True
484,rabitq_np256,0.9,True,True,True,1,1,False,True,True
484,refine_np64,1.0,True,True,True,1,1,False,True,True
484,sq8_np16,1.0,True,True,True,1,1,False,True,True
484,sq8_np4,0.8,True,True,True,1,1,True,False,True
484,sq8_np512,1.0,True,True,True,1,1,False,True,True
484,sq8_np64,1.0,True,True,True,1,1,False,True,True
484,sq8_np8,1.0,True,True,True,1,1,False,True,True
486,mrl_512_sq8_np512,0.8,False,True,False,1,1,True,False,True
486,pca_uc_384_sq8_np512,0.9,True,True,False,1,1,True,False,True
486,pca_uc_512_sq8_np512,1.0,True,True,False,1,1,True,False,True
486,pq_np256,0.9,True,True,False,1,1,True,False,True
486,rabitq_np256,0.8,True,True,False,1,1,True,False,True
486,refine_np64,1.0,True,True,False,1,1,True,False,True
486,sq8_np16,0.9,True,True,False,1,1,True,False,True
486,sq8_np4,0.8,True,True,False,1,1,True,False,True
486,sq8_np512,1.0,True,True,False,1,1,True,False,True
486,sq8_np64,1.0,True,True,False,1,1,True,False,True
486,sq8_np8,0.9,True,True,False,1,1,True,False,True
496,mrl_512_sq8_np512,0.8,False,False,False,1,0,False,False,True
496,pca_uc_384_sq8_np512,1.0,True,True,False,1,1,False,False,True
496,pca_uc_512_sq8_np512,1.0,True,True,False,1,1,False,False,True
