arm,n_questions,recall_at_10,presence_wb,presence_wb_ci_lo,presence_wb_ci_hi,provenance_at_10,provenance_at_10_ci_lo,provenance_at_10_ci_hi,judge_correct,judge_correct_ci_lo,judge_correct_ci_hi
sq8_np512,124,0.991935,0.83871,0.774194,0.903226,0.854839,0.790323,0.91129,0.669355,0.58871,0.75
sq8_np64,124,0.980645,0.830645,0.766129,0.895161,0.846774,0.782258,0.903226,0.653226,0.572581,0.733871
refine_np64,124,0.975806,0.83871,0.774194,0.903226,0.846774,0.782258,0.903226,0.677419,0.596774,0.758065
pca_uc_512_sq8_np512,124,0.971774,0.83871,0.774194,0.903226,0.854839,0.790323,0.91129,0.669355,0.58871,0.75
sq8_np16,124,0.950806,0.83871,0.774194,0.903226,0.846774,0.782258,0.903226,0.629032,0.548387,0.709677
pca_uc_384_sq8_np512,124,0.933871,0.846774,0.782258,0.903226,0.854839,0.790323,0.91129,0.669355,0.58871,0.75
sq8_np8,124,0.909677,0.814516,0.741935,0.879032,0.854839,0.790323,0.91129,0.645161,0.564516,0.733871
sq8_np4,124,0.856452,0.774194,0.701613,0.846774,0.83871,0.774194,0.903226,0.612903,0.524194,0.701613
pq_np256,124,0.835484,0.83871,0.774194,0.903226,0.854839,0.790323,0.91129,0.693548,0.612903,0.774194
rabitq_np256,124,0.818548,0.814516,0.741935,0.879032,0.862903,0.798387,0.919355,0.645161,0.564516,0.725806
mrl_512_sq8_np512,124,0.792742,0.814516,0.741935,0.879032,0.830645,0.766129,0.895161,0.66129,0.580645,0.741935
