prior_label,verdict,operation,n
ambiguous_question,augment,changed,4
ambiguous_question,augment,unchanged,3
ambiguous_question,keep,unchanged,16
ambiguous_question,replace,changed,7
ambiguous_question,replace,unchanged,8
ambiguous_question,unanswerable_from_corpus,unchanged,11
judge_strict,keep,unchanged,2
judge_strict,unanswerable_from_corpus,unchanged,2
model_error,keep,unchanged,12
model_error,replace,changed,1
model_error,replace,unchanged,2
model_error,unanswerable_from_corpus,unchanged,10
stale_gold,augment,changed,2
stale_gold,replace,changed,8
stale_gold,replace,unchanged,6
stale_gold,unanswerable_from_corpus,unchanged,7
unresolved,replace,changed,4
unresolved,unanswerable_from_corpus,unchanged,2
