qid,n_sents,all_exactly_one_strict,all_exactly_one_quoted,all_token_unique,any_zero_quoted,n_short,n_missing_context
5ab381b155429969a97a816b,2,False,False,False,True,0,0
5ae6038155429929b0807a55,2,False,False,True,True,0,0
5ab292e4554299545a2cf993,3,False,False,False,True,0,0
5ab3dad4554299753aec59cb,4,True,True,True,False,0,0
5ae4ba9255429913cc2044e6,3,False,False,True,True,0,0
5ae753b75542997b22f6a6db,3,False,False,False,True,0,0
5ac0551b5542997d64295a07,4,False,False,False,True,0,0
5a81fab9554299676cceb1b1,2,False,False,True,True,0,0
5ab6ef2f554299710c8d1fc5,2,False,False,False,True,0,0
5a78d1bd55429974737f78bd,2,False,False,True,True,0,0
5abd40585542993062266c3e,3,False,False,True,True,0,0
5ab2b89d554299166977406e,4,False,False,False,True,0,0
5a903a4855429933b8a204a9,2,False,False,False,True,0,0
5a7fb04d55429969796c1b24,2,False,False,True,True,0,0
5ae3e9995542995dadf24247,2,False,False,False,True,0,0
5aba7995554299232ef4a2e2,2,False,False,False,True,0,0
5ae33c6b5542992f92d82263,2,False,False,True,True,0,0
5ac3231a5542995ef918c11a,2,False,False,True,True,0,0
5a8d6edd554299441c6b9fdd,3,False,False,True,True,0,0
5a80b5ba554299260e20a138,3,False,False,True,True,0,0
5adf54605542993a75d264c6,2,False,False,False,True,0,0
5a764341554299109176e6e9,2,False,False,False,True,0,0
5ab82bb955429916710eb00a,2,True,True,True,False,0,0
5ac1353255429964131be192,2,False,False,False,True,0,0
5a877a9e5542993e715abf62,2,False,False,False,True,0,0
5a80a3205542992bc0c4a792,4,False,False,False,True,0,0
5ac1cfe05542994d76dcceea,2,False,False,False,True,0,0
5ac5093055429924173fb574,4,False,False,True,True,0,0
5a74742655429979e2882958,3,False,False,True,True,0,0
5ab8873155429934fafe6e10,4,False,False,True,True,0,0
5add16f45542990d50227dd4,2,False,False,False,True,0,0
5ae78e11554299540e5a55ff,2,False,True,True,False,0,0
5abc095b55429965836003f8,2,False,False,False,True,0,0
5a72b5dd5542991f9a20c57b,2,False,False,False,True,0,0
5a7e0ddf5542995f4f4023ca,2,False,False,True,True,0,0
5ac3540b554299741d48a24e,3,False,False,True,True,1,0
5a7c2ce05542990527d5546f,2,False,False,True,True,0,0
5ac4114e554299204fd21eef,2,False,False,True,True,0,0
5adccbae5542990d50227d26,4,False,False,True,True,0,0
5a8460435542992ef85e23d1,2,False,False,True,True,0,0
5ae78b555542994a481bbd8c,2,False,False,True,True,0,0
5a8aff4f55429971feec45e0,2,False,False,True,True,0,0
5aba0b025542994dbf01989b,2,False,False,False,True,0,0
5a7281c45542997f827839ef,2,False,False,False,True,0,0
5ae2aba15542996483e64a32,2,False,False,False,True,0,0
5adee51f5542995ec70e8f3e,4,False,False,True,True,0,0
