arm,is_new,n,recall_at_10,judge_correct,declined,error,n_correct,n_declined,n_error
sq8_np512,False,264,0.991288,0.674242,0.280303,0.045455,178,74,12
refine_np64,False,264,0.966667,0.681818,0.265152,0.05303,180,70,14
sq8_np64,False,264,0.96553,0.651515,0.299242,0.049242,172,79,13
pca_uc_512_sq8_np512,False,264,0.962121,0.659091,0.287879,0.05303,174,76,14
sq8_np48,True,264,0.958712,0.670455,0.268939,0.060606,177,71,16
sq8_np24,True,264,0.934848,0.666667,0.276515,0.056818,176,73,15
pca_uc_384_sq8_np512,False,264,0.924242,0.670455,0.284091,0.045455,177,75,12
sq8_np16,False,264,0.90947,0.632576,0.314394,0.05303,167,83,14
sq8_np12,True,264,0.886742,0.666667,0.276515,0.056818,176,73,15
sq8_np8,False,264,0.855303,0.632576,0.337121,0.030303,167,89,8
sq8_np6,True,264,0.829545,0.617424,0.337121,0.045455,163,89,12
pq_np256,False,264,0.817045,0.666667,0.287879,0.045455,176,76,12
sq8_np4,False,264,0.790152,0.579545,0.367424,0.05303,153,97,14
rabitq_np256,False,264,0.780303,0.640152,0.30303,0.056818,169,80,15
mrl_512_sq8_np512,False,264,0.759091,0.632576,0.30303,0.064394,167,80,17
