arm,is_new,n,recall_at_10,judge_correct,declined,error,n_correct,n_declined,n_error
sq8_np512,False,203,0.99064,0.876847,0.098522,0.024631,178,20,5
pca_uc_512_sq8_np512,False,203,0.964039,0.857143,0.123153,0.019704,174,25,4
refine_np64,False,203,0.963054,0.8867,0.093596,0.019704,180,19,4
sq8_np64,False,203,0.962562,0.847291,0.123153,0.029557,172,25,6
sq8_np48,True,203,0.955172,0.871921,0.098522,0.029557,177,20,6
sq8_np24,True,203,0.931527,0.866995,0.103448,0.029557,176,21,6
pca_uc_384_sq8_np512,False,203,0.926601,0.871921,0.103448,0.024631,177,21,5
sq8_np16,False,203,0.905419,0.82266,0.142857,0.034483,167,29,7
sq8_np12,True,203,0.880788,0.866995,0.098522,0.034483,176,20,7
sq8_np8,False,203,0.853695,0.82266,0.162562,0.014778,167,33,3
sq8_np6,True,203,0.827094,0.802956,0.17734,0.019704,163,36,4
pq_np256,False,203,0.825123,0.866995,0.108374,0.024631,176,22,5
rabitq_np256,False,203,0.795567,0.832512,0.133005,0.034483,169,27,7
sq8_np4,False,203,0.78867,0.753695,0.216749,0.029557,153,44,6
mrl_512_sq8_np512,False,203,0.774877,0.82266,0.137931,0.039409,167,28,8
