arm,k,n,n_present,moving_conversion,n_fixed,fixed_conversion,n_newly_present,newly_present_conversion,n_already_present,already_present_conversion,k_lo,k_hi,fixed_diff_k_hi_minus_k_lo,fixed_diff_ci_lo,fixed_diff_ci_hi,stratum,arms,note
sq8_np1,1,264,118,0.745763,118,0.745763,118,0.745763,0,,1,10,-0.008475,-0.084746,0.059322,primary,sq8_np1|sq8_np4|sq8_np48|sq8_np512,"Second instance of the composition artifact RESULTS-WS4e.md section 4 documents for separable(k)/signal(k): conversion(k) = P(judge correct | present at k) conditions on presence(k), which is nested/monotone in k. fixed_conversion holds the presence set fixed at k=1 (per arm) and reads conversion back at every depth; n_newly_present/n_already_present split the MOVING present set at each k against the previous swept k. fixed_diff (k_hi - k_lo) and its CI are a paired bootstrap over the arm's fixed set only, one shared resample per replicate reused for both k's judge outcomes (WS4B_CHANGEPOINT_BOOT_N, seed=42), same posture as bootstrap_fixed_composition_signal in composition_check.csv. DIAGNOSTIC: does not change mediator_by_k.csv, signal(k), the branch rule, or any other previously committed number."
sq8_np1,3,264,179,0.636872,118,0.711864,61,0.491803,118,0.711864,1,10,-0.008475,-0.084746,0.059322,primary,sq8_np1|sq8_np4|sq8_np48|sq8_np512,"Second instance of the composition artifact RESULTS-WS4e.md section 4 documents for separable(k)/signal(k): conversion(k) = P(judge correct | present at k) conditions on presence(k), which is nested/monotone in k. fixed_conversion holds the presence set fixed at k=1 (per arm) and reads conversion back at every depth; n_newly_present/n_already_present split the MOVING present set at each k against the previous swept k. fixed_diff (k_hi - k_lo) and its CI are a paired bootstrap over the arm's fixed set only, one shared resample per replicate reused for both k's judge outcomes (WS4B_CHANGEPOINT_BOOT_N, seed=42), same posture as bootstrap_fixed_composition_signal in composition_check.csv. DIAGNOSTIC: does not change mediator_by_k.csv, signal(k), the branch rule, or any other previously committed number."
sq8_np1,5,264,200,0.61,118,0.720339,21,0.238095,179,0.653631,1,10,-0.008475,-0.084746,0.059322,primary,sq8_np1|sq8_np4|sq8_np48|sq8_np512,"Second instance of the composition artifact RESULTS-WS4e.md section 4 documents for separable(k)/signal(k): conversion(k) = P(judge correct | present at k) conditions on presence(k), which is nested/monotone in k. fixed_conversion holds the presence set fixed at k=1 (per arm) and reads conversion back at every depth; n_newly_present/n_already_present split the MOVING present set at each k against the previous swept k. fixed_diff (k_hi - k_lo) and its CI are a paired bootstrap over the arm's fixed set only, one shared resample per replicate reused for both k's judge outcomes (WS4B_CHANGEPOINT_BOOT_N, seed=42), same posture as bootstrap_fixed_composition_signal in composition_check.csv. DIAGNOSTIC: does not change mediator_by_k.csv, signal(k), the branch rule, or any other previously committed number."
sq8_np1,10,264,216,0.634259,118,0.737288,16,0.375,200,0.655,1,10,-0.008475,-0.084746,0.059322,primary,sq8_np1|sq8_np4|sq8_np48|sq8_np512,"Second instance of the composition artifact RESULTS-WS4e.md section 4 documents for separable(k)/signal(k): conversion(k) = P(judge correct | present at k) conditions on presence(k), which is nested/monotone in k. fixed_conversion holds the presence set fixed at k=1 (per arm) and reads conversion back at every depth; n_newly_present/n_already_present split the MOVING present set at each k against the previous swept k. fixed_diff (k_hi - k_lo) and its CI are a paired bootstrap over the arm's fixed set only, one shared resample per replicate reused for both k's judge outcomes (WS4B_CHANGEPOINT_BOOT_N, seed=42), same posture as bootstrap_fixed_composition_signal in composition_check.csv. DIAGNOSTIC: does not change mediator_by_k.csv, signal(k), the branch rule, or any other previously committed number."
sq8_np4,1,264,133,0.766917,133,0.766917,133,0.766917,0,,1,10,-0.022556,-0.082707,0.037594,primary,sq8_np1|sq8_np4|sq8_np48|sq8_np512,"Second instance of the composition artifact RESULTS-WS4e.md section 4 documents for separable(k)/signal(k): conversion(k) = P(judge correct | present at k) conditions on presence(k), which is nested/monotone in k. fixed_conversion holds the presence set fixed at k=1 (per arm) and reads conversion back at every depth; n_newly_present/n_already_present split the MOVING present set at each k against the previous swept k. fixed_diff (k_hi - k_lo) and its CI are a paired bootstrap over the arm's fixed set only, one shared resample per replicate reused for both k's judge outcomes (WS4B_CHANGEPOINT_BOOT_N, seed=42), same posture as bootstrap_fixed_composition_signal in composition_check.csv. DIAGNOSTIC: does not change mediator_by_k.csv, signal(k), the branch rule, or any other previously committed number."
sq8_np4,3,264,202,0.673267,133,0.744361,69,0.536232,133,0.744361,1,10,-0.022556,-0.082707,0.037594,primary,sq8_np1|sq8_np4|sq8_np48|sq8_np512,"Second instance of the composition artifact RESULTS-WS4e.md section 4 documents for separable(k)/signal(k): conversion(k) = P(judge correct | present at k) conditions on presence(k), which is nested/monotone in k. fixed_conversion holds the presence set fixed at k=1 (per arm) and reads conversion back at every depth; n_newly_present/n_already_present split the MOVING present set at each k against the previous swept k. fixed_diff (k_hi - k_lo) and its CI are a paired bootstrap over the arm's fixed set only, one shared resample per replicate reused for both k's judge outcomes (WS4B_CHANGEPOINT_BOOT_N, seed=42), same posture as bootstrap_fixed_composition_signal in composition_check.csv. DIAGNOSTIC: does not change mediator_by_k.csv, signal(k), the branch rule, or any other previously committed number."
sq8_np4,5,264,219,0.643836,133,0.729323,17,0.411765,202,0.663366,1,10,-0.022556,-0.082707,0.037594,primary,sq8_np1|sq8_np4|sq8_np48|sq8_np512,"Second instance of the composition artifact RESULTS-WS4e.md section 4 documents for separable(k)/signal(k): conversion(k) = P(judge correct | present at k) conditions on presence(k), which is nested/monotone in k. fixed_conversion holds the presence set fixed at k=1 (per arm) and reads conversion back at every depth; n_newly_present/n_already_present split the MOVING present set at each k against the previous swept k. fixed_diff (k_hi - k_lo) and its CI are a paired bootstrap over the arm's fixed set only, one shared resample per replicate reused for both k's judge outcomes (WS4B_CHANGEPOINT_BOOT_N, seed=42), same posture as bootstrap_fixed_composition_signal in composition_check.csv. DIAGNOSTIC: does not change mediator_by_k.csv, signal(k), the branch rule, or any other previously committed number."
sq8_np4,10,264,238,0.642857,133,0.744361,19,0.421053,219,0.6621,1,10,-0.022556,-0.082707,0.037594,primary,sq8_np1|sq8_np4|sq8_np48|sq8_np512,"Second instance of the composition artifact RESULTS-WS4e.md section 4 documents for separable(k)/signal(k): conversion(k) = P(judge correct | present at k) conditions on presence(k), which is nested/monotone in k. fixed_conversion holds the presence set fixed at k=1 (per arm) and reads conversion back at every depth; n_newly_present/n_already_present split the MOVING present set at each k against the previous swept k. fixed_diff (k_hi - k_lo) and its CI are a paired bootstrap over the arm's fixed set only, one shared resample per replicate reused for both k's judge outcomes (WS4B_CHANGEPOINT_BOOT_N, seed=42), same posture as bootstrap_fixed_composition_signal in composition_check.csv. DIAGNOSTIC: does not change mediator_by_k.csv, signal(k), the branch rule, or any other previously committed number."
sq8_np48,1,264,140,0.771429,140,0.771429,140,0.771429,0,,1,10,0.0,-0.064286,0.064286,primary,sq8_np1|sq8_np4|sq8_np48|sq8_np512,"Second instance of the composition artifact RESULTS-WS4e.md section 4 documents for separable(k)/signal(k): conversion(k) = P(judge correct | present at k) conditions on presence(k), which is nested/monotone in k. fixed_conversion holds the presence set fixed at k=1 (per arm) and reads conversion back at every depth; n_newly_present/n_already_present split the MOVING present set at each k against the previous swept k. fixed_diff (k_hi - k_lo) and its CI are a paired bootstrap over the arm's fixed set only, one shared resample per replicate reused for both k's judge outcomes (WS4B_CHANGEPOINT_BOOT_N, seed=42), same posture as bootstrap_fixed_composition_signal in composition_check.csv. DIAGNOSTIC: does not change mediator_by_k.csv, signal(k), the branch rule, or any other previously committed number."
sq8_np48,3,264,213,0.676056,140,0.742857,73,0.547945,140,0.742857,1,10,0.0,-0.064286,0.064286,primary,sq8_np1|sq8_np4|sq8_np48|sq8_np512,"Second instance of the composition artifact RESULTS-WS4e.md section 4 documents for separable(k)/signal(k): conversion(k) = P(judge correct | present at k) conditions on presence(k), which is nested/monotone in k. fixed_conversion holds the presence set fixed at k=1 (per arm) and reads conversion back at every depth; n_newly_present/n_already_present split the MOVING present set at each k against the previous swept k. fixed_diff (k_hi - k_lo) and its CI are a paired bootstrap over the arm's fixed set only, one shared resample per replicate reused for both k's judge outcomes (WS4B_CHANGEPOINT_BOOT_N, seed=42), same posture as bootstrap_fixed_composition_signal in composition_check.csv. DIAGNOSTIC: does not change mediator_by_k.csv, signal(k), the branch rule, or any other previously committed number."
