arm,k,n,recall_at_10,presence_at_k,presence_at_k_ci_lo,presence_at_k_ci_hi,em,em_ci_lo,em_ci_hi,judge_accuracy,judge_accuracy_ci_lo,judge_accuracy_ci_hi,conversion,conversion_ci_lo,conversion_ci_hi,stratum,arms,note
sq8_np1,1,264,0.587121,0.44697,0.386364,0.507576,0.295455,0.242424,0.348485,0.473485,0.412879,0.534091,0.745763,0.664282,0.822581,primary,sq8_np1|sq8_np4|sq8_np48|sq8_np512,"Mediation chain (recall@10 -> presence@k -> EM -> judge accuracy) per (arm, k) over the 264-question primary stratum, mirroring results/ws4/chart_mediator.png's k=10 slice across every swept depth. conversion = P(judge correct | gold present at k). CIs are paired-bootstrap over questions, one shared question-index draw per replicate (WS4B_CHANGEPOINT_BOOT_N, seed=42), the same posture as discrimination_by_k.csv."
sq8_np1,3,264,0.587121,0.67803,0.621212,0.734848,0.246212,0.19697,0.299242,0.473485,0.412879,0.534091,0.636872,0.566667,0.706215,primary,sq8_np1|sq8_np4|sq8_np48|sq8_np512,"Mediation chain (recall@10 -> presence@k -> EM -> judge accuracy) per (arm, k) over the 264-question primary stratum, mirroring results/ws4/chart_mediator.png's k=10 slice across every swept depth. conversion = P(judge correct | gold present at k). CIs are paired-bootstrap over questions, one shared question-index draw per replicate (WS4B_CHANGEPOINT_BOOT_N, seed=42), the same posture as discrimination_by_k.csv."
sq8_np1,5,264,0.587121,0.757576,0.704545,0.806818,0.25,0.200758,0.30303,0.492424,0.431818,0.549242,0.61,0.542453,0.676923,primary,sq8_np1|sq8_np4|sq8_np48|sq8_np512,"Mediation chain (recall@10 -> presence@k -> EM -> judge accuracy) per (arm, k) over the 264-question primary stratum, mirroring results/ws4/chart_mediator.png's k=10 slice across every swept depth. conversion = P(judge correct | gold present at k). CIs are paired-bootstrap over questions, one shared question-index draw per replicate (WS4B_CHANGEPOINT_BOOT_N, seed=42), the same posture as discrimination_by_k.csv."
sq8_np1,10,264,0.587121,0.818182,0.768939,0.863636,0.268939,0.215909,0.32197,0.530303,0.469697,0.590909,0.634259,0.569444,0.69802,primary,sq8_np1|sq8_np4|sq8_np48|sq8_np512,"Mediation chain (recall@10 -> presence@k -> EM -> judge accuracy) per (arm, k) over the 264-question primary stratum, mirroring results/ws4/chart_mediator.png's k=10 slice across every swept depth. conversion = P(judge correct | gold present at k). CIs are paired-bootstrap over questions, one shared question-index draw per replicate (WS4B_CHANGEPOINT_BOOT_N, seed=42), the same posture as discrimination_by_k.csv."
sq8_np4,1,264,0.790152,0.503788,0.443182,0.564394,0.30303,0.246212,0.359848,0.511364,0.450758,0.57197,0.766917,0.689922,0.836879,primary,sq8_np1|sq8_np4|sq8_np48|sq8_np512,"Mediation chain (recall@10 -> presence@k -> EM -> judge accuracy) per (arm, k) over the 264-question primary stratum, mirroring results/ws4/chart_mediator.png's k=10 slice across every swept depth. conversion = P(judge correct | gold present at k). CIs are paired-bootstrap over questions, one shared question-index draw per replicate (WS4B_CHANGEPOINT_BOOT_N, seed=42), the same posture as discrimination_by_k.csv."
sq8_np4,3,264,0.790152,0.765152,0.712121,0.814394,0.299242,0.242424,0.352367,0.549242,0.488636,0.606061,0.673267,0.607656,0.736318,primary,sq8_np1|sq8_np4|sq8_np48|sq8_np512,"Mediation chain (recall@10 -> presence@k -> EM -> judge accuracy) per (arm, k) over the 264-question primary stratum, mirroring results/ws4/chart_mediator.png's k=10 slice across every swept depth. conversion = P(judge correct | gold present at k). CIs are paired-bootstrap over questions, one shared question-index draw per replicate (WS4B_CHANGEPOINT_BOOT_N, seed=42), the same posture as discrimination_by_k.csv."
sq8_np4,5,264,0.790152,0.829545,0.784091,0.875,0.299242,0.242424,0.352273,0.556818,0.496212,0.613636,0.643836,0.578475,0.706977,primary,sq8_np1|sq8_np4|sq8_np48|sq8_np512,"Mediation chain (recall@10 -> presence@k -> EM -> judge accuracy) per (arm, k) over the 264-question primary stratum, mirroring results/ws4/chart_mediator.png's k=10 slice across every swept depth. conversion = P(judge correct | gold present at k). CIs are paired-bootstrap over questions, one shared question-index draw per replicate (WS4B_CHANGEPOINT_BOOT_N, seed=42), the same posture as discrimination_by_k.csv."
sq8_np4,10,264,0.790152,0.901515,0.863636,0.935606,0.299242,0.246117,0.356061,0.579545,0.518939,0.636364,0.642857,0.581493,0.702041,primary,sq8_np1|sq8_np4|sq8_np48|sq8_np512,"Mediation chain (recall@10 -> presence@k -> EM -> judge accuracy) per (arm, k) over the 264-question primary stratum, mirroring results/ws4/chart_mediator.png's k=10 slice across every swept depth. conversion = P(judge correct | gold present at k). CIs are paired-bootstrap over questions, one shared question-index draw per replicate (WS4B_CHANGEPOINT_BOOT_N, seed=42), the same posture as discrimination_by_k.csv."
sq8_np48,1,264,0.958712,0.530303,0.469697,0.590909,0.314394,0.257576,0.371212,0.526515,0.465909,0.587121,0.771429,0.7,0.838462,primary,sq8_np1|sq8_np4|sq8_np48|sq8_np512,"Mediation chain (recall@10 -> presence@k -> EM -> judge accuracy) per (arm, k) over the 264-question primary stratum, mirroring results/ws4/chart_mediator.png's k=10 slice across every swept depth. conversion = P(judge correct | gold present at k). CIs are paired-bootstrap over questions, one shared question-index draw per replicate (WS4B_CHANGEPOINT_BOOT_N, seed=42), the same posture as discrimination_by_k.csv."
sq8_np48,3,264,0.958712,0.806818,0.757576,0.852273,0.325758,0.268939,0.382576,0.583333,0.522727,0.640152,0.676056,0.611601,0.737333,primary,sq8_np1|sq8_np4|sq8_np48|sq8_np512,"Mediation chain (recall@10 -> presence@k -> EM -> judge accuracy) per (arm, k) over the 264-question primary stratum, mirroring results/ws4/chart_mediator.png's k=10 slice across every swept depth. conversion = P(judge correct | gold present at k). CIs are paired-bootstrap over questions, one shared question-index draw per replicate (WS4B_CHANGEPOINT_BOOT_N, seed=42), the same posture as discrimination_by_k.csv."
sq8_np48,5,264,0.958712,0.890152,0.852273,0.92803,0.310606,0.253788,0.367424,0.651515,0.594697,0.708333,0.706383,0.646809,0.762505,primary,sq8_np1|sq8_np4|sq8_np48|sq8_np512,"Mediation chain (recall@10 -> presence@k -> EM -> judge accuracy) per (arm, k) over the 264-question primary stratum, mirroring results/ws4/chart_mediator.png's k=10 slice across every swept depth. conversion = P(judge correct | gold present at k). CIs are paired-bootstrap over questions, one shared question-index draw per replicate (WS4B_CHANGEPOINT_BOOT_N, seed=42), the same posture as discrimination_by_k.csv."
sq8_np48,10,264,0.958712,0.992424,0.981061,1.0,0.337121,0.280303,0.393939,0.670455,0.613636,0.723485,0.675573,0.617752,0.730769,primary,sq8_np1|sq8_np4|sq8_np48|sq8_np512,"Mediation chain (recall@10 -> presence@k -> EM -> judge accuracy) per (arm, k) over the 264-question primary stratum, mirroring results/ws4/chart_mediator.png's k=10 slice across every swept depth. conversion = P(judge correct | gold present at k). CIs are paired-bootstrap over questions, one shared question-index draw per replicate (WS4B_CHANGEPOINT_BOOT_N, seed=42), the same posture as discrimination_by_k.csv."
sq8_np512,1,264,0.991288,0.530303,0.469697,0.590909,0.310606,0.253788,0.367424,0.537879,0.477273,0.598485,0.771429,0.699245,0.840278,primary,sq8_np1|sq8_np4|sq8_np48|sq8_np512,"Mediation chain (recall@10 -> presence@k -> EM -> judge accuracy) per (arm, k) over the 264-question primary stratum, mirroring results/ws4/chart_mediator.png's k=10 slice across every swept depth. conversion = P(judge correct | gold present at k). CIs are paired-bootstrap over questions, one shared question-index draw per replicate (WS4B_CHANGEPOINT_BOOT_N, seed=42), the same posture as discrimination_by_k.csv."
sq8_np512,3,264,0.991288,0.806818,0.757576,0.852273,0.314394,0.257576,0.371212,0.587121,0.526515,0.643939,0.676056,0.611872,0.738318,primary,sq8_np1|sq8_np4|sq8_np48|sq8_np512,"Mediation chain (recall@10 -> presence@k -> EM -> judge accuracy) per (arm, k) over the 264-question primary stratum, mirroring results/ws4/chart_mediator.png's k=10 slice across every swept depth. conversion = P(judge correct | gold present at k). CIs are paired-bootstrap over questions, one shared question-index draw per replicate (WS4B_CHANGEPOINT_BOOT_N, seed=42), the same posture as discrimination_by_k.csv."
sq8_np512,5,264,0.991288,0.893939,0.856061,0.92803,0.325758,0.268939,0.382576,0.617424,0.556818,0.674242,0.669492,0.607438,0.726891,primary,sq8_np1|sq8_np4|sq8_np48|sq8_np512,"Mediation chain (recall@10 -> presence@k -> EM -> judge accuracy) per (arm, k) over the 264-question primary stratum, mirroring results/ws4/chart_mediator.png's k=10 slice across every swept depth. conversion = P(judge correct | gold present at k). CIs are paired-bootstrap over questions, one shared question-index draw per replicate (WS4B_CHANGEPOINT_BOOT_N, seed=42), the same posture as discrimination_by_k.csv."
sq8_np512,10,264,0.991288,1.0,1.0,1.0,0.356061,0.299242,0.412879,0.674242,0.617424,0.731061,0.674242,0.617424,0.731061,primary,sq8_np1|sq8_np4|sq8_np48|sq8_np512,"Mediation chain (recall@10 -> presence@k -> EM -> judge accuracy) per (arm, k) over the 264-question primary stratum, mirroring results/ws4/chart_mediator.png's k=10 slice across every swept depth. conversion = P(judge correct | gold present at k). CIs are paired-bootstrap over questions, one shared question-index draw per replicate (WS4B_CHANGEPOINT_BOOT_N, seed=42), the same posture as discrimination_by_k.csv."
