workload,size,corpus_tokens,live_arm,index_arm,regime,hit_rate,cached,footprint,infra_mode,c_live,c_index_query,saving_per_query,footprint_gib,infra_month,embed_once,churn_day,fixed_daily,break_even_qpd,feasible,live_window_exceeded,c_live_over_window,break_even_qpd_over_window,measured,hit_rate_basis
memory,S,98134,replay,memsearch,claude,1.0,True,pca_uc_384_sq8,dedicated,0.01994863333333333,0.0114765,0.00847213333333333,0.0001559432040213496,86.06751,0.00099968,0.0,2.827682738849315,333.7627758670759,True,False,,,True,measured
memory,S,98134,replay,memsearch,claude,0.5,True,pca_uc_384_sq8,dedicated,0.20640323333333332,0.0114765,0.19492673333333332,0.0001559432040213496,86.06751,0.00099968,0.0,2.827682738849315,14.506387556466422,True,False,,,True,sweep
memory,S,98134,replay,memsearch,claude,0.9,True,pca_uc_384_sq8,dedicated,0.05723955333333333,0.0114765,0.04576305333333333,0.0001559432040213496,86.06751,0.00099968,0.0,2.827682738849315,61.78964323583847,True,False,,,True,sweep
memory,S,98134,replay,memsearch,claude,0.95,True,pca_uc_384_sq8,dedicated,0.03859409333333335,0.0114765,0.02711759333333335,0.0001559432040213496,86.06751,0.00099968,0.0,2.827682738849315,104.27484121068683,True,False,,,True,sweep
memory,S,98134,replay,memsearch,claude,0.99,True,pca_uc_384_sq8,dedicated,0.023677725333333337,0.0114765,0.012201225333333336,0.0001559432040213496,86.06751,0.00099968,0.0,2.827682738849315,231.75399696325425,True,False,,,True,sweep
memory,S,98134,replay,memsearch,claude,0.0,False,pca_uc_384_sq8,dedicated,0.19658983333333335,0.0114765,0.18511333333333335,0.0001559432040213496,86.06751,0.00099968,0.0,2.827682738849315,15.275413650282609,True,False,,,True,uncached_list
memory,S,98134,replay,memsearch,claude,1.0,True,sq8,dedicated,0.01994863333333333,0.0114765,0.00847213333333333,0.0003817014060728252,86.06751,0.00099968,0.0,2.827682738849315,333.7627758670759,True,False,,,True,measured
memory,S,98134,replay,memsearch,claude,0.5,True,sq8,dedicated,0.20640323333333332,0.0114765,0.19492673333333332,0.0003817014060728252,86.06751,0.00099968,0.0,2.827682738849315,14.506387556466422,True,False,,,True,sweep
memory,S,98134,replay,memsearch,claude,0.9,True,sq8,dedicated,0.05723955333333333,0.0114765,0.04576305333333333,0.0003817014060728252,86.06751,0.00099968,0.0,2.827682738849315,61.78964323583847,True,False,,,True,sweep
memory,S,98134,replay,memsearch,claude,0.95,True,sq8,dedicated,0.03859409333333335,0.0114765,0.02711759333333335,0.0003817014060728252,86.06751,0.00099968,0.0,2.827682738849315,104.27484121068683,True,False,,,True,sweep
