workload,knob,setting,size,corpus_tokens,c_live,c_index_query,fixed_daily,break_even_qpd,in_c9_band,index_wins_per_query,feasible,ratio_vs_base,max_spread_ratio,weakens_claim,strengthens_claim,changes_number
memory,base,headline,S,98134,0.01994863333333333,0.0114765,2.827682738849315,333.7627758670759,True,True,True,1.0,,,,
memory,base,headline,M,392116,0.20300260000000006,0.012446666666666668,2.8276910470136984,14.83916558015178,True,True,True,1.0,,,,
memory,base,headline,L,1221906,0.2901802842105263,0.01879842105263158,2.8277145235616437,10.419688665474414,True,True,True,1.0,,,,
memory,claude_price,x0.5,S,98134,0.009974316666666665,0.00573825,2.827682738849315,667.5255517341518,True,True,True,2.0,3.0,False,True,True
memory,claude_price,x0.5,M,392116,0.10150130000000003,0.006223333333333334,2.8276910470136984,29.67833116030356,True,True,True,2.0,3.0,False,True,True
memory,claude_price,x0.5,L,1221906,0.14509014210526314,0.00939921052631579,2.8277145235616437,20.839377330948828,True,True,True,2.0,3.0,False,True,True
memory,claude_price,x1.5,S,98134,0.029922950000000004,0.01721475,2.827682738849315,222.50851724471713,True,True,True,0.6666666666666662,3.0,False,True,True
memory,claude_price,x1.5,M,392116,0.3045039000000001,0.01867,2.8276910470136984,9.892777053434521,False,True,True,0.6666666666666667,3.0,False,True,True
memory,claude_price,x1.5,L,1221906,0.4352704263157893,0.02819763157894737,2.8277145235616437,6.946459110316278,False,True,True,0.6666666666666669,3.0,False,True,True
memory,cache_hit_rate,miss/2,S,98134,0.01994863333333333,0.0114765,2.827682738849315,333.7627758670759,True,True,True,1.0,2.45,False,True,True
memory,cache_hit_rate,miss/2,M,392116,0.1409175666666668,0.012446666666666668,2.8276910470136984,22.010362245564526,True,True,True,1.483261449350267,2.45,False,True,True
memory,cache_hit_rate,miss/2,L,1221906,0.2422171842105261,0.01879842105263158,2.8277145235616437,12.656566904200616,True,True,True,1.214678030269569,2.45,False,True,True
memory,cache_hit_rate,miss x2,S,98134,0.01994863333333333,0.0114765,2.827682738849315,333.7627758670759,True,True,True,1.0,2.45,False,True,True
memory,cache_hit_rate,miss x2,M,392116,0.3271726666666667,0.012446666666666668,2.8276910470136984,8.984612161097902,False,True,True,0.6054661303271207,2.45,False,True,True
memory,cache_hit_rate,miss x2,L,1221906,0.3861064842105262,0.01879842105263158,2.8277145235616437,7.6984820296365095,False,True,True,0.7388399286003037,2.45,False,True,True
memory,infra_usd_per_gib_month,x0.5,S,98134,0.01994863333333333,0.0114765,1.413842738849315,166.88154957224262,True,True,True,0.500000484292187,4.0,False,True,True
memory,infra_usd_per_gib_month,x0.5,M,392116,0.20300260000000006,0.012446666666666668,1.4138510470136987,7.419611776351746,False,True,True,0.5000019533629232,4.0,False,True,True
memory,infra_usd_per_gib_month,x0.5,L,1221906,0.2901802842105263,0.01879842105263158,1.413874523561644,5.2099079397175005,False,True,True,0.5000061044991204,4.0,False,True,True
memory,infra_usd_per_gib_month,x2,S,98134,0.01994863333333333,0.0114765,5.655362738849315,667.5252284567426,True,True,True,1.9999990314156264,4.0,False,True,True
memory,infra_usd_per_gib_month,x2,M,392116,0.20300260000000006,0.012446666666666668,5.655371047013698,29.678273187751856,True,True,True,1.999996093274154,4.0,False,True,True
memory,infra_usd_per_gib_month,x2,L,1221906,0.2901802842105263,0.01879842105263158,5.655394523561644,20.839250116988243,True,True,True,1.9999877910017594,4.0,False,True,True
memory,footprint,sq8 3.54x,S,98134,0.01994863333333333,0.0114765,2.827682738849315,333.7627758670759,True,True,True,1.0,1.0,False,False,False
memory,footprint,sq8 3.54x,M,392116,0.20300260000000006,0.012446666666666668,2.8276910470136984,14.83916558015178,True,True,True,1.0,1.0,False,False,False
memory,footprint,sq8 3.54x,L,1221906,0.2901802842105263,0.01879842105263158,2.8277145235616437,10.419688665474414,True,True,True,1.0,1.0,False,False,False
memory,footprint,refine_k2 3.11x,S,98134,0.01994863333333333,0.0114765,2.827682738849315,333.7627758670759,True,True,True,1.0,1.0,False,False,False
memory,footprint,refine_k2 3.11x,M,392116,0.20300260000000006,0.012446666666666668,2.8276910470136984,14.83916558015178,True,True,True,1.0,1.0,False,False,False
memory,footprint,refine_k2 3.11x,L,1221906,0.2901802842105263,0.01879842105263158,2.8277145235616437,10.419688665474414,True,True,True,1.0,1.0,False,False,False
memory,infra_mode,marginal GiB (no floor),S,98134,0.01994863333333333,0.0114765,4.101363954845061e-05,0.004841004967082352,False,True,True,1.4504328574407371e-05,68944.94,False,True,True
memory,infra_mode,marginal GiB (no floor),M,392116,0.20300260000000006,0.012446666666666668,0.0001628487241157728,0.0008545980241449985,False,True,True,5.7590706130274034e-05,68944.94,False,True,True
memory,infra_mode,marginal GiB (no floor),L,1221906,0.2901802842105263,0.01879842105263158,0.0005058224617209902,0.0018638771796871843,False,True,True,0.0001788803139448045,68944.94,False,True,True
memory,cache_ttl,5m write (1.25x),S,98134,0.01994863333333333,0.0114765,2.827682738849315,333.7627758670759,True,True,True,1.0,1.35,False,False,True
memory,cache_ttl,5m write (1.25x),M,392116,0.15398810000000007,0.012446666666666668,2.8276910470136984,19.977832500497712,True,True,True,1.3462908269733973,1.35,False,False,True
memory,cache_ttl,5m write (1.25x),L,1221906,0.25231467894736836,0.01879842105263158,2.8277145235616437,12.109283306673687,True,True,True,1.1621540427400423,1.35,False,False,True
memory,live_uncached,list price,S,98134,0.19658983333333335,0.0114765,2.827682738849315,15.275413650282609,True,True,True,0.04576727770374903,21.85,False,True,True
