probe_id,probe_set,fact_type,question,expected_answer,stale_answer,subject,attribute,source_file,source_line,session_id,turn_id,depth_s,depth_m,depth_l,cumulative_tokens_before,original_source_line,original_depth_l,original_in_window,fact_in_window
f00,scaling,decision,What did we decide to route `flinmure` through?,spindle-buffer,,flinmure,,2025-01-06.md,,,,0.08320255976521898,0.020822919748237766,0.006682,8165,,,,False
f01,scaling,decision,What did we decide to route `quillvex` through?,spindle-ledger,,quillvex,,2025-01-06.md,,,,0.07848452116493773,0.019642146711687358,0.006303,7702,,,,False
f02,scaling,decision,What did we decide to route `fenric` through?,spindle-gateway,,fenric,,2025-01-06.md,,,,0.08882752155216336,0.022230666435442574,0.007134,8717,,,,False
f03,scaling,decision,What did we decide to route `hobcote` through?,relay-gateway,,hobcote,,2025-01-06.md,,,,0.07578413190127785,0.018966326291199542,0.006086,7437,,,,False
f04,scaling,value,What value did we set `kerfquota` on `quillley` to?,9213,,quillley,kerfquota,2025-01-13.md,,,,0.4894124360568203,0.12248416284976894,0.039306,48028,,,,False
f05,scaling,value,What value did we set `plinthceiling` on `wrasridge` to?,9816,,wrasridge,plinthceiling,2025-01-13.md,,,,0.4849797216051521,0.12137479725387386,0.03895,47593,,,,False
f06,scaling,value,What value did we set `warpwidth` on `flinton` to?,1522,,flinton,warpwidth,2025-01-13.md,,,,0.49262233272871786,0.12328749655714126,0.039564,48343,,,,False
f07,scaling,value,What value did we set `camberceiling` on `flinley` to?,7051,,flinley,camberceiling,2025-01-13.md,,,,0.48189210671123156,0.12060206673535383,0.038702,47290,,,,False
f08,scaling,owner,Who owns `pelwell`?,Kipipley,,pelwell,,2025-01-20.md,,,,0.9001671184299019,0.2252828244703098,0.072294,88337,,,,False
f09,scaling,owner,Who owns `hobnail`?,Marniker,,hobnail,,2025-01-20.md,,,,0.8970183626469929,0.22449479235736364,0.072042,88028,,,,False
f10,scaling,owner,Who owns `murknail`?,Branipley,,murknail,,2025-01-20.md,,,,0.9041412762141562,0.22627742810800885,0.072614,88727,,,,False
