pair,fastapi_scope,unseen_scope,fastapi_tokens,unseen_tokens,token_ratio,in_band,fastapi_files,unseen_files,file_ratio,fastapi_n,unseen_n,fastapi_agentic_usd,fastapi_indexed_usd,fastapi_cheaper_arm,unseen_agentic_usd,unseen_indexed_usd,unseen_cheaper_arm,branch,pairing,statistic
fastapi_M__vs__agentic_hil_S,M,S,1138485,1139248,1.001,True,1112,49,22.694,10,37,0.035501,0.040033,agentic,0.144163,0.067719,indexed,C1,"unpaired: different questions, different n, no row correspondence; no interval is computed across corpora",mean cost_agent_billed per query (judge excluded)
fastapi_L__vs__agentic_hil_L,L,L,6232509,4307363,1.447,True,2888,342,8.444,40,37,0.054345,0.066598,agentic,0.139224,0.094895,indexed,C1,"unpaired: different questions, different n, no row correspondence; no interval is computed across corpora",mean cost_agent_billed per query (judge excluded)
fastapi_M__vs__agentic_hil_M,M,M,1138485,2017476,1.772,True,1112,172,6.465,10,37,0.035501,0.040033,agentic,0.18974,0.079857,indexed,C1,"unpaired: different questions, different n, no row correspondence; no interval is computed across corpora",mean cost_agent_billed per query (judge excluded)
fastapi_L__vs__agentic_hil_M,L,M,6232509,2017476,3.089,False,2888,172,16.791,40,37,0.054345,0.066598,agentic,0.18974,0.079857,indexed,out of band (not evaluated),"unpaired: different questions, different n, no row correspondence; no interval is computed across corpora",mean cost_agent_billed per query (judge excluded)
fastapi_M__vs__agentic_hil_L,M,L,1138485,4307363,3.783,False,1112,342,3.251,10,37,0.035501,0.040033,agentic,0.139224,0.094895,indexed,out of band (not evaluated),"unpaired: different questions, different n, no row correspondence; no interval is computed across corpora",mean cost_agent_billed per query (judge excluded)
fastapi_S__vs__agentic_hil_S,S,S,259429,1139248,4.391,False,55,49,1.122,10,37,0.035988,0.037875,agentic,0.144163,0.067719,indexed,out of band (not evaluated),"unpaired: different questions, different n, no row correspondence; no interval is computed across corpora",mean cost_agent_billed per query (judge excluded)
fastapi_L__vs__agentic_hil_S,L,S,6232509,1139248,5.471,False,2888,49,58.939,40,37,0.054345,0.066598,agentic,0.144163,0.067719,indexed,out of band (not evaluated),"unpaired: different questions, different n, no row correspondence; no interval is computed across corpora",mean cost_agent_billed per query (judge excluded)
fastapi_S__vs__agentic_hil_M,S,M,259429,2017476,7.777,False,55,172,3.127,10,37,0.035988,0.037875,agentic,0.18974,0.079857,indexed,out of band (not evaluated),"unpaired: different questions, different n, no row correspondence; no interval is computed across corpora",mean cost_agent_billed per query (judge excluded)
fastapi_S__vs__agentic_hil_L,S,L,259429,4307363,16.603,False,55,342,6.218,10,37,0.035988,0.037875,agentic,0.139224,0.094895,indexed,out of band (not evaluated),"unpaired: different questions, different n, no row correspondence; no interval is computed across corpora",mean cost_agent_billed per query (judge excluded)
OVERALL,,,,,,True,,,,,,,,,,,,C1,"unpaired: different questions, different n, no row correspondence; no interval is computed across corpora",mean cost_agent_billed per query (judge excluded)
