corpus,contrast_kind,arm_a,arm_b,size,span,metric,branch,n,median,mean,ci_low,ci_high,n_positive,sign_p,excludes_zero
agentic_hil,arm_at_size,indexed,agentic,S,,prompt_tokens,U3,37,-1743.0,-37455.75675675676,-13337.0,3075.0,16,0.5113757815852296,False
agentic_hil,arm_at_size,indexed,agentic,S,,judge_correct,n/a (not pre-registered),37,0.0,0.08108108108108109,0.0,0.0,3,0.25,False
agentic_hil,arm_at_size,indexed,agentic,S,,turns,n/a (not pre-registered),37,-1.0,-2.7567567567567566,-3.0,-1.0,0,7.450580596923828e-09,True
agentic_hil,arm_at_size,indexed_topk3,agentic,S,,prompt_tokens,U3,37,-2314.0,-25854.81081081081,-8198.0,3644.0,15,0.3240086000878364,False
agentic_hil,arm_at_size,indexed_topk3,agentic,S,,judge_correct,n/a (not pre-registered),37,0.0,0.08108108108108109,0.0,0.0,3,0.25,False
agentic_hil,arm_at_size,indexed_topk3,agentic,S,,turns,n/a (not pre-registered),37,0.0,-1.135135135135135,-1.0,0.0,10,0.1849333420395851,False
agentic_hil,arm_at_size,indexed_topk3,indexed,S,,prompt_tokens,U3,37,1671.0,11600.945945945947,-4851.0,6725.0,19,1.0,False
agentic_hil,arm_at_size,indexed_topk3,indexed,S,,judge_correct,n/a (not pre-registered),37,0.0,0.0,0.0,0.0,0,1.0,False
agentic_hil,arm_at_size,indexed_topk3,indexed,S,,turns,n/a (not pre-registered),37,1.0,1.6216216216216217,1.0,2.0,25,5.960464477539063e-08,True
agentic_hil,arm_at_size,indexed,agentic,M,,prompt_tokens,U3,37,-3467.0,-54598.83783783784,-21743.0,846.0,15,0.3240086000878364,False
agentic_hil,arm_at_size,indexed,agentic,M,,judge_correct,n/a (not pre-registered),37,0.0,0.05405405405405406,0.0,0.0,2,0.5,False
agentic_hil,arm_at_size,indexed,agentic,M,,turns,n/a (not pre-registered),37,-1.0,-2.5675675675675675,-2.0,-1.0,1,2.1606683731079102e-07,True
agentic_hil,arm_at_size,indexed_topk3,agentic,M,,prompt_tokens,U1,37,-8263.0,-59480.94594594595,-23324.0,-2576.0,9,0.0025632079923525453,True
agentic_hil,arm_at_size,indexed_topk3,agentic,M,,judge_correct,n/a (not pre-registered),37,0.0,0.05405405405405406,0.0,0.0,2,0.5,False
agentic_hil,arm_at_size,indexed_topk3,agentic,M,,turns,n/a (not pre-registered),37,0.0,-1.5135135135135136,-1.0,0.0,7,0.043285250663757324,False
agentic_hil,arm_at_size,indexed_topk3,indexed,M,,prompt_tokens,U3,37,-4575.0,-4882.108108108108,-10476.0,407.0,13,0.09887174959294498,False
agentic_hil,arm_at_size,indexed_topk3,indexed,M,,judge_correct,n/a (not pre-registered),37,0.0,0.0,0.0,0.0,0,1.0,False
agentic_hil,arm_at_size,indexed_topk3,indexed,M,,turns,n/a (not pre-registered),37,1.0,1.054054054054054,0.0,1.0,20,2.09808349609375e-05,False
agentic_hil,arm_at_size,indexed,agentic,L,,prompt_tokens,U3,37,-3228.0,-22737.756756756757,-12884.0,961.0,14,0.18774155899882317,False
agentic_hil,arm_at_size,indexed,agentic,L,,judge_correct,n/a (not pre-registered),37,0.0,0.05405405405405406,0.0,0.0,2,0.5,False
agentic_hil,arm_at_size,indexed,agentic,L,,turns,n/a (not pre-registered),37,-1.0,-2.108108108108108,-2.0,-1.0,2,5.647540092468262e-06,True
agentic_hil,arm_at_size,indexed_topk3,agentic,L,,prompt_tokens,U3,37,-2019.0,-18324.972972972973,-12676.0,1992.0,16,0.5113757815852296,False
agentic_hil,arm_at_size,indexed_topk3,agentic,L,,judge_correct,n/a (not pre-registered),37,0.0,0.02702702702702703,0.0,0.0,2,1.0,False
